Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
256099791072227,Amnesty International Luxembourg,Amnesty International Luxembourg,154,16
602299559907363,Médecins du Monde Luxembourg,Médecins du Monde Luxembourg,142,9
67370457805,Greenpeace Luxembourg,Fondation Greenpeace Luxembourg,≤100,31
103409564883471,Djuna Bernard,groupe parlementaire déi gréng,≤100,2
141096935941189,JDL Jonk Demokraten,Jonk Demokraten,≤100,2
47216059667,LSAP,Groupe parlementaire Socialiste - LSAP,≤100,2
106781054009320,Ministère de la Protection des consommateurs,Ministère de la Protection des consommateurs,≤100,2
21710789873,déi gréng,groupe parlementaire déi gréng,≤100,2
2403585623242400,Ministère de l'Intérieur Luxembourg,Ministère de l'Intérieur Luxembourg,≤100,1
223763820986825,déi gréng Stad Lëtzebuerg,déi gréng Stad Lëtzebuerg,≤100,1
765672493454207,LUkraine asbl,LUkraine asbl,≤100,2
101721849313379,Egalitéit liewen,Ministère de l'Égalité entre les Femmes et les Hommes,≤100,1
2139886662711123,Marc Goergen - Député,Piratepartei Lëtzebuerg,≤100,1
124205267649571,"ADRenalin, déi jonk adr","ADRenalin, déi jonk ADR",≤100,1
757812257889290,Gemeng Mamer,Gemeng Mamer,≤100,4
141480992729926,Piraten Bezierk Osten,Frères Daniel,≤100,1
119259865347592,Réimecher Piraten,Frères Daniel,≤100,1
1933096830349891,Reporter,Reporter.lu,≤100,1
120444648033670,déi Lénk,déi Lénk,≤100,1
56016549775,CSV,CSV,≤100,1
178362315106,European Parliament,European Parliament,≤100,5
1527472604152597,Mouvement Ecologique,Mouvement Ecologique,≤100,2
2168820933200990,Adult Advocacy Centers,These ads ran without a disclaimer,≤100,1
161567570579610,Action Solidarité Tiers Monde - ASTM,Action Solidarité Tiers Monde,≤100,1
109740911789638,Op Heidert,These ads ran without a disclaimer,≤100,2
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,5
127971680591205,Lëtzebuerger Journal,Lëtzebuerger Journal,≤100,1
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100,6
54779960819,United Nations,United Nations with Facebook Ad Credits,≤100,5
100432322646591,Magnom Properties,These ads ran without a disclaimer,≤100,1
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100,1
56016549775,CSV,CSV-Fraktioun,≤100,1
133599030547470,FernWind,These ads ran without a disclaimer,≤100,2
101201701597213,Exo ART,These ads ran without a disclaimer,≤100,1
11055104471,ONE,These ads ran without a disclaimer,≤100,1
34440108608,Net Impact,These ads ran without a disclaimer,≤100,1
100962009439951,Chang Padilla,These ads ran without a disclaimer,≤100,1
1220981994590364,FT Partner Content,These ads ran without a disclaimer,≤100,2
109778611627053,Fabulous Lightning,These ads ran without a disclaimer,≤100,1
100321029554920,Nathan Young,These ads ran without a disclaimer,≤100,1
253427411376355,Institute of Science and Technology Austria - ISTA,These ads ran without a disclaimer,≤100,1
259025094248205,Soroptimist International of Europe,These ads ran without a disclaimer,≤100,1
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,1
110019488564180,Tepoloy-US,These ads ran without a disclaimer,≤100,5
188140874572413,Charles Darwin Foundation,These ads ran without a disclaimer,≤100,1
