Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,6
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,8
1501570506768598,Ministre Moustapha Diop,Elaj Toure,≤100,1
1707536856204544,Hamidou Thiaw,Hamidou Thiaw,≤100,1
104189875729285,Meleye Seck l'officiel,Meleye Seck,≤100,2
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100,4
110986297266758,Mamadou Saliou Sow,Raissa Bindia,≤100,1
641572929530326,Actu221.net,These ads ran without a disclaimer,≤100,1
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,4
1352874084790500,Fresenius Kabi,These ads ran without a disclaimer,≤100,2
565225540184937,CGTN,These ads ran without a disclaimer,≤100,4
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,1
108655461411377,Valter Studio,These ads ran without a disclaimer,≤100,1
229584730414018,VenSai Enterprises Inc.,These ads ran without a disclaimer,≤100,1
101474672367263,YouthxYouth,These ads ran without a disclaimer,≤100,3
1509413712605916,ICAO - International Civil Aviation Organization,These ads ran without a disclaimer,≤100,1
870250129973660,La Maestra Paris,These ads ran without a disclaimer,≤100,1
33575580843,Microsoft Research,These ads ran without a disclaimer,≤100,1
106627395512366,Dame HCQC Cho Die925200,These ads ran without a disclaimer,≤100,1
193159954041877,New Narratives,These ads ran without a disclaimer,≤100,1
