Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
137365066281338,Caravanserai - Pусский,These ads ran without a disclaimer,≤100,1
239292462893338,Акчабар,Адиля Кермакунова,≤100,3
102707224481315,Ассоциация по защите прав человека в уголовном процессе «Article 9»,Ассоциация по защите прав человека в уголовном процессе «Article 9»,≤100,2
172800432762053,Vesti.kg,Vesti.kg,≤100,3
1085235988325237,Reporter KG кыргызча,Адиля Кермакунова,≤100,1
103027075333767,Персона дня,kyzyktuufact.com,≤100,1
1352874084790500,Fresenius Kabi,These ads ran without a disclaimer,≤100,2
101474672367263,YouthxYouth,These ads ran without a disclaimer,≤100,3
144776752025,Голос Америки,These ads ran without a disclaimer,≤100,1
303624683019094,HACEY's Health Initiative,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,1
1164694603562682,FastTony.es,These ads ran without a disclaimer,≤100,1
1509413712605916,ICAO - International Civil Aviation Organization,These ads ran without a disclaimer,≤100,1
1881543645439590,Tech It Out with Yang Zhao,These ads ran without a disclaimer,≤100,4
315603771494,Milaap,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
169687486427698,Jentezen Franklin,These ads ran without a disclaimer,≤100,1
108226812107555,Yang from CGN,These ads ran without a disclaimer,≤100,1
105920735675544,Li From CGN,These ads ran without a disclaimer,≤100,2
