Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,811,1
491553204198958,Revistazo.com,Revistazo.com,342,7
138816232821931,PNUD en Honduras,PNUD (Programa de las Naciones Unidas  para el Desarrollo),319,3
643513979193133,Unidos por Beatriz,Neuma,173,7
973656702704928,ParadigmaEncuestadora,Fredy Ordoñez Flores,160,1
107952642129360,Por una Corte Imparcial con Justicia Social,Delmy Saray Caballero Zelaya,150,1
104111364355253,Diario Paradigma,Fredy Ordoñez Flores,145,1
109580408013707,Francisco Flores,Francisco Miguel Flores Guifarro,127,3
421574011322217,Alcaldía del Distrito Central,Alcaldía del Distrito Central,≤100,3
103084629229632,Scanner Doc,These ads ran without a disclaimer,≤100,1
486382251906084,Honduras El Pais,Diario El  Pais.hn,≤100,1
103825695591860,Josue Colindres Diputado,Johana Elizabeth Colindres Castellanos,≤100,1
1519747768323108,Edil Mendez,Edil Mendez,≤100,2
709160849247917,Evis Santos,Evis Alexander Santos Tabora,≤100,1
747420075340256,El Agricultor Primero,These ads ran without a disclaimer,≤100,1
354397697217,IEEE Xplore,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,2
104015742220554,Mimic,These ads ran without a disclaimer,≤100,1
274394006605216,History A2Z Magazine,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,2
121307931254043,Econlib,These ads ran without a disclaimer,≤100,1
