Location name,Amount spent (RON)
Alba County,195
Arad County,1172
Argeș County,261
Bacău County,425
Bihor County,240
Bistrița-Năsăud County,172
Botoșani County,299
Brașov County,231
Brăila County,120
Bucharest,1176
Buzău County,142
Caraș-Severin County,278
Cluj County,340
Constanța County,415
Covasna County,≤100
Călărași County,≤100
Dolj County,379
Dâmbovița County,299
Galați County,284
Giurgiu County,115
Gorj County,151
Harghita County,159
Hunedoara County,213
Ialomița County,≤100
Iași County,375
Ilfov County,234
Maramureș County,338
Mehedinți County,≤100
Mureș County,285
Neamț County,450
Olt County,106
Prahova County,342
Satu Mare County,130
Sibiu County,182
Suceava County,491
Sălaj County,119
Teleorman County,155
Timiș County,457
Tulcea County,≤100
Unknown,≤100
Vaslui County,130
Vrancea County,171
Vâlcea County,220
