Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
428936530575447,Sabai Khabar,Sabai Khabar,≤100,1
1437942076453464,CRI Nepali Service,These ads ran without a disclaimer,≤100,1
318985911646011,Dipendra Jha,Internet Market Today Pvt. Ltd.,≤100,1
2246168735670776,MeroAdda मेरोअड्डा,MeroAdda मेरोअड्डा,≤100,1
245850345433429,CMG Media Group,CMG Media Group,≤100,1
327115907736300,Asia Global Institute,These ads ran without a disclaimer,≤100,1
249235665239846,Capital TV HD,Capital TV HD,≤100,1
1414802032117321,South Asian Regional Trade Union Council,South Asian Regional Trade Union Council,≤100,1
135799599823455,Arboricultural Association,These ads ran without a disclaimer,≤100,2
109184428639401,TaxTris,These ads ran without a disclaimer,≤100,2
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,2
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
526327500799853,China.org.cn,These ads ran without a disclaimer,≤100,1
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,1
103731349278744,Hexa Link - Booster&Game Fun,These ads ran without a disclaimer,≤100,1
104939305812692,Toshima Karki - तोसिमा कार्की fanpage,Manish Jung Karki Woonize,≤100,1
105686442303512,CTGI,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,2
193967487284903,What Design Can Do,These ads ran without a disclaimer,≤100,1
109530631920422,Scanner-111,These ads ran without a disclaimer,≤100,1
319739671441859,Floripa Mil Grau,These ads ran without a disclaimer,≤100,1
