Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
105587720883344,Bettina Aguilera,Bettina Rosmary Aguilera Paniagua,365868,2
103771265752808,Vysokolán,Stephan Vysokolán,249541,4
102467002671611,Jorge Heisecke,Jorge Heisecke,223928,3
110060281794994,Luis Talavera Alegre - Presidente 2023,José Emanuel Ruiz Díaz Bogado,181190,1
102940895895901,Victor Herreros Gimenez,Victor Herreros,96565,3
1468570519872644,Santiago Peña,PRANA SA,95413,1
292909490881181,Carlos Echeverría Intendente,TEJUParaguay,90572,1
103040788902949,Concertación Nacional 2023,Rocio Magali Moreno Vera,86548,1
1011833908887463,Atilio Alegre,IMAGEN DE GOBIERNO,80759,1
338961084535,WWF Paraguay,WWF Paraguay,71706,2
107833595148374,Diputado José Rodríguez 2023 - 2028,Diputado José Rodríguez 2023 - 2028,71064,2
111967891694362,Osmar Ferreira,IMAGEN DE GOBIERNO,63399,1
100566575581065,Ramón Montanía,Ramón Montania Fernandez,58716,2
114448232558658,Jorge Querey,Jorge Osvaldo Querey Rojas,50886,1
107558844100122,Pastor Filártiga,Pastor Filártiga,48161,1
498022813689642,Oscar González Drakeford,IMAGEN DE GOBIERNO,43342,1
106721948731693,Prof. Aldo Centurión López,Prof. Aldo Centurión López,39958,1
109779868441305,Gaby Russo,Maria Gabriela De Jesus Russo Yubero,36963,2
945217102186450,Vidal Vázquez,Miguel Acosta Benitez,36697,1
113160524208050,Fernando Marzal 2023,Nueva Tecno,34685,1
102804492578710,Legalmente Hablando,Nueva Tecno,30000,1
368247363370300,LATITUD 25,Latitud 25,29358,8
1753251591598763,Dani Mujica,Celso Kevin Ramon Sánchez Florentin,22887,1
110665567053224,DimartinoIntendente,Jorge Dimartino,20000,1
105199707946952,Crónicas del Caaguazú Noticias,Crónicas del Caaguazú,19123,2
363306313879750,Marle Chispita Orue,Marlene Tatiana Orue Leon,18940,1
101840779897426,Cristian Cardozo,Cristian Antonio Cardozo Villalba,18628,2
451746952056165,Gustavo Acosta,Gustavo Joaquin Acosta Fonseca,18243,2
237898026337131,Impacto Caaguazú- Digital.,impactocaaguazu,18008,2
397788123735216,Pey Vargas,Pedro Jose Emmanuel Vargas Carnibella,16216,1
490637354648727,Ing.Juan Carlos Baruja - Gobernador 2018/2023,Juan Carlos Baruja Fernandez,15099,1
108982768685910,Cynthia Rios Candidata,Wilson Armoa,14679,1
105872245439208,Pelusa Senadora,Maria Yolanda Del Rosario Moreno de Ruíz,14664,1
517426394969535,Ricardo Canese,Ricardo Canese,14555,1
1832577620365172,Eusebio Ramón Ayala Senador 2023,Manu Nuñez Franco,14077,1
109252182048593,Nestor Martínez Bernal,Viviano Baez Gonzalez,12937,1
279495618730067,MANUEL RADICE,Manuel Radice,12731,1
724051717643013,Miguel Prieto,Celso Kevin Ramon Sánchez Florentin,12493,1
725834240910220,Noticiero Paraguay,Noticiero Paraguay,12219,2
106438588789107,Luis Palacios Intendente,Viviano Baez Gonzalez,10102,1
646939832039958,Hugo Ibarra - Diputado Nacional,Eladio Ortiz Gayoso,9796,2
283555155469151,Nando Gill,Hernando Gill Aguayo,8669,1
278226125974096,El Paraguayo Independiente,Paraguayo Independiente,8382,2
107686348789567,Alberto Ayala 123,Adan Alberto Ayala,8134,1
459778430886026,Posgrado Universidad Columbia,Posgrado Columbia,7870,1
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,7851,1
255852854856739,"Marco Augusto Ferreira, Autor",Marco Augusto Ferreira Acuña,7483,1
255852854856739,"Marco Augusto Ferreira, Autor",Marco Augusto Ferreira Acuña,7483,1
1518537951510136,Sidinei Heinemann Zuse,Sidinei Heinemann Zuse,7147,1
1365651890238610,Soberanía Paraguay,Prensa_Py,6730,1
111912341409356,Centinela del Norte,Centinela del Norte,5038,1
1734894683407567,Municipalidad Hernandarias,Eric Fabian Benitez,4600,2
112013680926673,Fabiola Galeano,Fabiola Galeano,4449,1
1151984808290856,Hugo Portillo,Hugo Portillo,3243,2
2009798972471052,Gabriel de Carvalho - Espanol,These ads ran without a disclaimer,1235,2
107706177740738,Periodismo 29,Periodismo 29,1207,1
357080701541143,Angélica Arevalos Pereira,These ads ran without a disclaimer,833,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,530,1
104160088751744,auracastro.biz,These ads ran without a disclaimer,≤100,1
319739671441859,Floripa Mil Grau,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
101769325674257,naseartsconsortium,These ads ran without a disclaimer,≤100,1
327115907736300,Asia Global Institute,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
