Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
454746178067182,Purevdorj Bukhchuluun,Purevdorj Bukhchuluun,≤100,1
1570378483194046,Сугаржавын Далхаасүрэн,Алтантуул Тука,≤100,1
104297524912070,NEXT 30,NEXT 30,≤100,1
107810657531092,Budragchaa Serdamba,Budragchaa Serdamba,≤100,1
339646519820476,Garden City хотхон,Garden City хотхон,≤100,3
255542418267949,Barometer,Lamjav Zolbaatar,≤100,1
109352650803239,"Улсын эрх ашиг, тусгаар тогтнолын нам FB page",Batjargal Gochoosuren,≤100,1
116430521327202,Luiza Garcia P,These ads ran without a disclaimer,≤100,2
500259383489171,Guidable,These ads ran without a disclaimer,≤100,2
137704262972584,MobiHealthNews,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
327115907736300,Asia Global Institute,These ads ran without a disclaimer,≤100,1
102277955915903,Global Peace Foundation,These ads ran without a disclaimer,≤100,1
107164265572895,YY_m2,These ads ran without a disclaimer,≤100,1
1239952466122244,Adtalem Global Education,These ads ran without a disclaimer,≤100,1
109184428639401,TaxTris,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
