Page ID,Page name,Disclaimer,Amount spent (PKR),Number of ads in Library
107739801980383,Karachi Stories,Karachi Stories,1347847,42
111320974880220,The Solution,Taha Bin Muhammad,16383,18
110657041281786,South Today,South Today,9329,1
252434368713670,Humayun Akhtar Khan,Humayun Akhtar Khan,4092,4
1013093118714429,PPP Karachi Division,PPP Karachi Division,3865,3
114491103719859,Shahzada Aman UrRahman,Shahzada Aman UrRahman,3172,1
304781399652673,Jamshed Iqbal Cheema,Jamshed Iqbal Cheema,3000,1
109120380422173,Rana Sajjad,Rana Sajjad Hussain,2995,1
543755195637715,Mian Aslam,Mian Aslam,2060,1
103161792280179,Kuch To Hay Na,Taha Bin Muhammad,2028,2
931203933666198,Startup Pakistan,Startup Pakistan,1741,1
105848558790469,"Word Office - Reader, Editor & Viewer",These ads ran without a disclaimer,1587,1
407889229718531,Sardar Tanveer Ilyas Khan,Sardar Tanveer Ilyas Khan,1568,2
561715134284273,Peoples Youth Organisation Karachi,Peoples Youth Organisation Karachi,1500,1
1259526344064381,Abdul Wasi,Sadaqat Mehmood,1460,2
100231989347329,Saad Liaquat,Saad Liaquat,1339,4
115445627811504,Muhammad Kashif Mairaj,Muhammad Kashif Mairaj,1214,3
107801948674316,BBU News WORLD,BBU NEWS WORLD,1199,2
105690462092880,MM News Videos,MM Digital PVT LTD,1042,1
133648753466105,Group Development Pakistan,Group Development Pakistan,1017,3
109493084543028,Four Corners with Tarar,NEXT TV,972,2
1706863532970589,Nasir Hashmi,Osama Rehman Butt,846,1
110196941769209,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶 𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶 𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹,838,1
234578749895304,Relief Foundation International,Relief Foundation International,767,2
100833042906929,News Morning,PNN,693,2
102690905990373,Mian Zeeshan Rafique PMLN,Zeeshan Rafique,662,1
991555334307641,Jamaat-e-Islami KP,Sadaqat Mehmood,498,1
187258925420723,Leading Lawyers,Leading Lawyers,480,2
361971188258443,Syed Tariq Mahmood ul Hassan,Syed Tariq Mahmood ul Hassan,381,1
148143495361532,Hafiz Farhat Abbas,Hafiz Farhat Abbas,294,1
100427168538381,Sardar Mehboob Khan Khetran,Sardar Mehboob Khan Khetran,257,1
100435805831644,Tanveer Ahmad Virk PP141,Jahanzaib Naveed,245,1
323105774539149,Arif Qureshi PPP,Arsalan Anwer,239,1
109943027544114,Muhammad Yousuf,Muhammad Yousuf,218,1
2212487818997338,Fakhar Azam Wazir,Naveed Khan,172,1
109667605297055,WT News Hd,These ads ran without a disclaimer,170,1
2107858016193986,Voice of Sindh,Voice of Sindh,165,3
102412545228877,Tayyab Ahmad,Tayyab Ahmad,145,2
100297025991496,NA Yazman,NA Yazman,122,1
108731623986929,Voice of Sindh,Voice of Sindh,113,2
114763757787108,Khanewal public school and college,Khanewal public school and college,≤100,1
100857456175309,epic_queen_o0,These ads ran without a disclaimer,≤100,1
1280575775412942,Malik Hamza Abbas,These ads ran without a disclaimer,≤100,1
109731345084575,PMLN Media Zone Attock,PMLN Media Zone Attock,≤100,1
106685458717116,Muhammad Hussain,Muhammad Hussain,≤100,1
115301803573781,The World Fact,These ads ran without a disclaimer,≤100,1
101569176040527,The News Room,These ads ran without a disclaimer,≤100,1
105378218834720,Team Malik Adeel Iqbal,These ads ran without a disclaimer,≤100,1
102690905990373,Mian Zeeshan Rafique PMLN,SWIFT CARGO SERVICES,≤100,1
110208043865490,Jangull baloch,These ads ran without a disclaimer,≤100,1
102972672378510,Peer Sayed haleem Shah,Peer Sayed haleem Shah,≤100,1
145752338944033,Air China,These ads ran without a disclaimer,≤100,1
324253041382779,Xavier Cormier,These ads ran without a disclaimer,≤100,3
157929751070689,The Connected Hearts Inc,These ads ran without a disclaimer,≤100,1
122861212590833,FAW Global,These ads ran without a disclaimer,≤100,1
138756620064262,Fanack.com of the Middle East and North Africa,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
1419109681659828,The Hans Foundation,These ads ran without a disclaimer,≤100,1
105954855202943,Matt27,These ads ran without a disclaimer,≤100,1
795079500550035,Diário do Povo Online,These ads ran without a disclaimer,≤100,1
55757954259,artnet,These ads ran without a disclaimer,≤100,1
2018068638421522,Manteco,These ads ran without a disclaimer,≤100,1
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,1
