Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
643137272398136,Sverige för UNHCR,Sverige för UNHCR,30414,18
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,25855,3
608975645850217,Vattenfall,Vattenfall Sverige,24697,73
126567104406,Hyresgästföreningen,Hyresgästföreningen,24144,112
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,16091,29
279974638809211,Oxfam Sverige,Oxfam Sverige,9988,9
161213770567846,Operation Smile Sverige,Operation Smile Sverige,8897,7
382243262003,Plan International Sverige,Plan International Sverige,8129,16
162985227114132,Skellefteå Kraft,Skellefteå Kraft,8009,6
111630258867610,Röda Korset,Röda Korset,7679,10
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),7340,26
207676515922828,Västtrafik,Västtrafik AB,6339,11
59324455950,UNICEF Sverige,UNICEF Sverige,6192,9
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,6010,56
109886133732943,RESCUE - Sverige,RESCUE - Sverige,5823,1
95735961890,Greenpeace Sverige,Greenpeace Sverige,5677,71
237146235237,Timbro,Tankesmedjan Timbro,5582,20
101341883359561,Matsmart Sverige,Matsmart,5490,17
369582590803,Dagens ETC,ETC-tidningarna,5053,25
19746853632,Djurens Rätt,Djurens Rätt,3974,4
72659261793,Rädda Barnen,Rädda Barnen,3837,31
115212521895994,Vattenfall Eldistribution AB,Vattenfall Eldistribution AB,3418,6
186513678039755,Fortum,Fortum Sverige,3190,48
293678655099,Europaparlamentets kontor i Sverige,Europaparlamentets kontor i Sverige,3017,3
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,2657,3
131103013625213,Statens institutionsstyrelse,Statens institutionsstyrelse - SiS,2650,6
256148111215223,Länsförsäkringar Älvsborg,Scream Mediabyrå AB,2425,4
175656912484553,Unionen,Unionen,2319,10
109724707089757,Barndom utan baksmälla,Barndom utan baksmälla,2217,2
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,2212,35
24574889995,Charlie Weimers MEP,Charlie Weimers,2087,1
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,2074,8
266170183550491,Nya Kompisbyrån,Nya Kompisbyrån,1926,13
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,1869,49
234172635050,Forum för levande historia,Forum för levande historia,1517,4
153270724787,Amnesty International Sverige,Amnesty International Sverige,1509,10
42676805259,Diakonia,Diakonia,1415,6
314872662206,Ekonomifakta,Ekonomifakta,1322,76
111699453757094,Soft Towel Games,These ads ran without a disclaimer,1116,2
107411260903386,Emyze. All in for less.,These ads ran without a disclaimer,1081,6
212604496324,Fackförbundet ST,Fackförbundet ST,1077,59
103296115466644,Skattenytta,Kommissionen för Skattenytta,974,4
8040892957,Socialdemokraterna,Socialdemokraterna,910,10
178362315106,European Parliament,European Parliament,825,5
1633181116933852,SvD Junior,SvD Junior (SvD),822,8
106579105171694,ETC nyhetsmagasin,ETC Media AB,807,3
379686162129542,Svea Bank,Svea Ekonomi,790,5
533884160419305,Companies of the Future,These ads ran without a disclaimer,740,1
309283471958,Hyresgästföreningen Region Sydost,Hyresgästföreningen Region Sydost,657,27
127063960674693,Svenska Freds- och Skiljedomsföreningen,Svenska Freds- och Skiljedomsföreningen,633,10
273053169937029,ClimateHero,ClimateHero,604,7
112225970344,Räddningsmissionen,Räddningsmissionen,569,20
17775970938,Cancerfonden,Cancerfonden,565,8
1531320107133721,Syre,Dagens O2 AB,565,4
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,564,15
328754490337,Vårdförbundet,Vårdförbundet,538,35
104760926229060,Uppsala kommun,Uppsala kommun,533,4
100650935646,Skiftet,Skiftet,530,1
1495636290691848,Vänsterpartiet Stockholms stad,Vänsterpartiet Stockholm stad,527,6
387421644643053,Hyresgästföreningen BohusÄlvsborg-Skaraborg,Hyresgästföreningen BohusÄlvsborg-Skaraborg,504,18
179931025357058,Kommunal,Kommunal,495,9
239855722130,Nyhetsmagasinet Fokus,Fokus,480,5
1506548439589245,Indra Queer Trans & Tjejjour,Föreningen Indra,444,1
123739584343055,Social Media Rekrytering,Social Media Rekrytering,440,4
111894442223981,Socialdemokraterna i Ängelholm,Socialdemokraterna i Ängelholm,415,1
103945879157509,Nordea Fonder,Nordea Funds AB,408,2
809338299217333,Svenska Epoch Times,Svenska Epoch Times,396,1
1545369075688158,Brottsofferjouren Sverige,Brottsofferjouren Sverige,383,16
