Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,307
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,105
Dohuk Governorate,241
Erbil Governorate,396
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,175
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,≤100
Saladin Governorate,≤100
Sulaymaniyah Governorate,691
Unknown,≤100
Wasit Governorate,≤100
