Location name,Amount spent (HUF)
Baranya County,95626
Borsod-Abaúj-Zemplén County,116732
Budapest,535153
Bács-Kiskun County,107783
Békés County,71769
Csongrád County,110343
Fejér County,85869
Győr-Moson-Sopron County,95322
Hajdú-Bihar County,179589
Heves County,68518
Jász-Nagykun-Szolnok County,75454
Komárom-Esztergom County,63728
Nógrád County,37886
Pest County,235476
Somogy County,63929
Szabolcs-Szatmár-Bereg County,107321
Tolna County,49919
Unknown,134
Vas County,59762
Veszprém County,72896
Zala County,58782
