Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
334361224413,N-VA,Nieuw-Vlaamse Alliantie,3650,45
305365056290036,Raoul Hedebouw - PVDA,PVDA,1244,6
54970503767,PVDA,PVDA,1229,21
24079407056,Bart De Wever,Nieuw-Vlaamse Alliantie,980,16
53838654385,PTB,PTB,831,23
296289134485339,Sofie Merckx,PTB,717,4
236485149843971,Peter Mertens,PVDA,495,8
133467219125,Ben Weyts,Nieuw-Vlaamse Alliantie,467,12
483497581789280,Theo Francken,Nieuw-Vlaamse Alliantie,466,5
53668151866,Open Vld,Open Vld,407,25
453932394796444,Zuhal Demir,Nieuw-Vlaamse Alliantie,367,9
504580942987092,Egbert Lachaert,Open Vld,318,15
73232790238,Greenpeace Belgium,Greenpeace Belgium,318,81
603811736730421,Tom Vandendriessche,Tom Vandendriessche MEP,305,3
1661453500556261,Peter De Roover,N-VA,299,1
57253967150,Vooruit,Vooruit,260,28
1397002987227704,Jos D'Haese,PVDA,253,1
181975318662681,Raoul Hedebouw,PTB,234,4
1375436739430055,Anneleen Van Bossuyt,Nieuw-Vlaamse Alliantie (Anneleen Van Bossuyt),223,4
84920854319,Groen,Groen,223,31
543319679114946,Matthias Diependaele,Nieuw-Vlaamse Alliantie,187,6
106960738389089,Nadia Moscufo,PTB,185,1
14619952769,Het Belang van Limburg,Het Belang van Limburg,184,9
38296327361,Ecolo,Ecolo,170,3
107781141962077,Nadia Naji,Groen,155,9
108820070638334,Les Engagés - Mouvement participatif,Les Engagés,155,47
60317812912,Jan Jambon,Nieuw-Vlaamse Alliantie,153,5
1480604288895159,N-VA Brussels Hoofdstedelijk Gewest,Nieuw-Vlaamse Alliantie,148,3
386211174868638,Comac étudiants,Comac,141,4
150977208365420,Assita Kanko,Nieuw-Vlaamse Alliantie,140,4
2433030616715564,Lise Vandecasteele,PVDA,135,1
1848893498684520,Santander Consumer Bank Belgium,Santander Consumer Bank,129,6
440758486069432,Jasper Pillen,Open VLD,127,3
15299247059,EURACTIV,EURACTIV Media Network BV,124,10
52997544531,cd&v,CD&V,122,5
101240187963272,wallonie-photovoltaiques.com,LA PLATEFORME DU LEAD,109,6
372776579930604,Petra De Sutter,Groen,106,6
1477520555859157,Comac Studenten,Comac,≤100,4
275607285891320,Johan Van Overtveldt,Nieuw-Vlaamse Alliantie,≤100,5
1373626132778895,Jeremie Vaneeckhout,Groen,≤100,17
379749768826697,N-VA Stad Antwerpen,Nieuw-Vlaamse Alliantie,≤100,3
1094451167319305,Line De Witte,PVDA,≤100,2
78565055764,Plan International Belgium,Plan International Belgium,≤100,10
408479362538591,Vlaams Parlement,Vlaams Parlement,≤100,1
942750852588816,Conner Rousseau,Vooruit,≤100,5
236330169511,MR - Mouvement Réformateur,MR - Mouvement Réformateur,≤100,2
109303661918715,Yvan Verougstraete,Les Engagés,≤100,5
328565540829675,ABVV Dienstencheques,ABVV Dienstencheques,≤100,9
367577357909,Denis Ducarme,Denis Gaston S Ducarme,≤100,1
556347961236170,FGTB Titres-services,FGTB Titres-services,≤100,7
178362315106,European Parliament,European Parliament,≤100,8
1474193815933413,ABVV Schoonmaak,ABVV Schoonmaak,≤100,6
942750852588816,Conner Rousseau,Conner Rousseau,≤100,10
115185844803200,Fara Chorfi,Issam Richter,≤100,1
1473802016233527,Informazout,Informazout,≤100,8
204227142940013,Bulex,Bulex,≤100,18
