Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
301774903545521,Brasil Paralelo,Brasil Paralelo,18323,208
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,15553,340
104625758942119,Siga Antenado,"ASSOCIACAO ADMINISTRADORA DA FAIXA DE 3,5 GHZ - EAF",6440,47
121116005943892,Saúde Não Se Pesa,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA,6384,4
416907625028840,Governo do Estado de Minas Gerais,Governo de Minas Gerais,5637,6
159103797542,Greenpeace Brasil,Greenpeace Brasil,4550,223
239665829565195,Cidade de São Paulo,Pago por Prefeitura de SP,4183,95
255804437808407,Vale,Vale,3611,6
112830251033781,Tiger,GRUPO HEINEKEN,3018,1
106558185227603,BP Select,Brasil Paralelo Entretenimento e Educação S/A,2357,38
171169022896525,Guaraná Antarctica,Ambev,2298,1
105527742878890,Prefeitura do Recife,Prefeitura do Recife,2205,26
101189854802059,Revista Oeste,Revista Oeste,1935,9
220346131312219,Ministério Público do Trabalho,Ministério Público do Trabalho,1379,2
1594613884123934,IDIB,INSTITUTO DE DESENVOLVIMENTO INSTITUCIONAL BRASILEIRO - IDIB,1208,15
334336000061313,Ben & Jerry's,These ads ran without a disclaimer,1112,3
109918909035681,Cerveja Brahma Oficial,Ambev,1092,5
101230328792183,Portal Concursos & OAB,PORTAL CURSOS PREPARATORIOS E OAB LTDA,1007,191
228909183838663,Fundação Demócrito Rocha,Ismael Pereira Da Costa,966,9
833053646745836,Kim Kataguiri,MBL,952,16
140386962704024,Governo de Pernambuco,Governo de Pernambuco,913,4
1706482512937484,Bruno Engler,Deputado Estadual Bruno Engler,786,2
151756254136,Enel Brasil,Enel Brasil,776,11
170238043113891,Professor Rômulo Passos,Romulo Silva Passos,758,36
465235726843103,Ambev,Ambev,748,1
491007197579019,Carlos Brandão,Carlos Brandão,736,13
165175370206522,Citi Brasil,Citi Brasil,735,3
185500178231142,Governo do Maranhão,Governo do Estado do Maranhão,708,9
297785830288053,Rosenverg Reis de Oliveira,Rosenverg Reis de Oliveira,686,5
1534982756793690,Foodvisor,These ads ran without a disclaimer,679,3
864026253797918,Betinho Pinto Coelho,Betinho Pinto Coelho,656,1
113165042099382,Brasil 61,Brasil 61,652,11
330379553673497,Oxfam Brasil,Oxfam Brasil,632,75
288660317927031,Prefeitura Municipal de Araçatuba,PREFEITURA MUNICIPAL DE ARAÇATUBA,629,7
1124473760957316,FS Fueling Sustainability,FS Fueling Sustainability,624,5
373178502706775,Colégio Marista Rosário,Colégio Marista Rosário,623,22
