Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
116862803029556,INDRI - Accélérer le changement visible à Madagascar,INDRI,≤100,2
920398048101746,Roindefo Monja,Roindefo Monja,≤100,2
1439281819620732,AAENA Madagascar,AAENA Madagascar,≤100,1
110128088465618,Pelandroy Espérance,Pelandroy Espérance,≤100,1
105173452392388,Celcom Sénat,Nicole Zafimaroson,≤100,3
107164101598971,Président du Sénat Herimanana Razafimahefa,Nicole Zafimaroson,≤100,4
1833872426859495,Ministère de l'Environnement et du Développement Durable,Ministère de l'Environnement et du Développement Durable,≤100,1
692746357592676,GoMedii,These ads ran without a disclaimer,≤100,1
106386158767588,DOPE Quick Reads,These ads ran without a disclaimer,≤100,2
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
223966207746010,La Marche du Monde - RFI,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
345840486219924,Energy China,These ads ran without a disclaimer,≤100,1
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,1
107703155980813,EarlyRise,These ads ran without a disclaimer,≤100,3
40755480179,Students For Liberty,These ads ran without a disclaimer,≤100,2
