Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
108448645342531,BAZ PLUS,BAZ PLUS,107,38
399110903587431,دژه تیرۆری کوردستان Kurdistan CT,ASO,101,6
381497365537157,R.C.D مركز الرافدين للحوار,مركز الرافدين للحوار R.C.D,≤100,7
199619564219576,مركز الرافدين للحوار R.C.D - العلاقات العامة,R.C.D مركز الرافدين للحوار,≤100,6
110534435683482,Kurdistan Democratic Party,KDPinfo,≤100,12
101964988731653,محسن المندلاوي,محسن المندلاوي,≤100,5
110035949016294,Masrour Barzani,ASO,≤100,7
108993520443836,وەزارەتی ئاوەدانکردنەوە و نیشتەجێکردن - وزارة الاعمار والاسكان,وەزارەتی ئاوەدانکردنەوە و نیشتەجێکردن - وزارة الاعمار والاسكان,≤100,4
135202556677269,Rabun Maroof رابون مەعروف,Rabun Maroof,≤100,2
638540889641531,Xwakurk  - خواكورك,xwakurk,≤100,31
104731119101861,RSTA رستە,RSTA رستە,≤100,5
102687942750312,Wagon,wagon,≤100,15
100718729559772,مەکتەبی ڕێکخستنی پارێزگای سلێمانی ـ هەلەبجە ـ ڕاپەرین پ.د.ک,Rawand Mziri,≤100,8
659208437434246,KNN +,KNN +,≤100,1
147415918619707,KNN,KNN,≤100,1
355786234434317,Pshtiwan Sadq,Shwan Azeez Ismail,≤100,10
116944031282422,شبابيك نيوز,صحيفة شبابيك نيوز,≤100,2
110735054899289,Lapere,lapere,≤100,11
112206986837937,داركا مازى - كوردى,Darka Mazi,≤100,7
132126192341800,أنا البرلمان,أنا البرلمان,≤100,4
104005041772849,DAW- داو,DAW- داو,≤100,12
101537365554352,KURD POST,Ahmed Majeed Awla,≤100,14
295663631027908,Barzani Headquarters بارەگای بارزانی,BarzaniHQ,≤100,1
101171378186468,المدينة,توفيق فؤاد توفيق,≤100,2
113328637052240,زەرگەتە,zergete.net,≤100,2
319949955147415,لارسا نيوز,لارسا نيوز,≤100,1
108899148772957,اسماء الرعاية الاجتماعية,علي خضير عباس,≤100,2
100662932593098,الوسط 24,الوسط 24,≤100,3
107131102284620,اسماء الرعاية الاجتماعية والعاطلين عن العمل,علي خضير عباس,≤100,2
102208414468987,فالح الخزعلي,فالح الخزعلي,≤100,2
945981242085442,المهندس محمد شياع السوداني,البرلماني,≤100,1
635049550029076,Nabaz hariri,Rawand Mziri,≤100,7
109246614711807,اوتار نيوز,شبكة أوتار,≤100,4
104574747604318,XOR - خۆر,Xorkurd.net,≤100,21
503530246416243,النائب احمد المشهداني  Ahmed Al-Mashhadani,Mustafa Al-mashhadani,≤100,2
