Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
123310201026539,Sotsiaaldemokraatlik Erakond,Sotsiaaldemokraatlik Erakond,2195,88
671308106236480,Eesti Konservatiivne Rahvaerakond,Eesti Konservatiivne Rahvaerakond,1505,30
597669946998762,Reformierakond Tallinnas,Eesti Reformierakond,1136,47
321163977576,Isamaa erakond,Isamaa erakond,750,19
102556191461116,Parempoolsed,Erakond Parempoolsed,653,63
377562219398154,Eesti 200,Erakond Eesti 200,610,134
503635753156660,Urmas Reinsalu,Isamaa erakond,456,3
109605679062900,Eestimaa Rohelised,Eestimaa Rohelised,413,51
207815253105660,Reformierakond Harjumaal,Eesti Reformierakond,253,8
1959753937483931,"Jah vabadusele, ei valedele",SALK,235,25
80124492882,Reformierakond,Eesti Reformierakond,223,9
106889421000517,Eesti 200 Tartu,Erakond Eesti 200,191,16
2347656258843926,Jaak Laineste Eesti 200,Eesti 200,177,3
102764095497528,Hanah Lahe,Eesti Reformierakond,169,6
1451467634864322,Tartu ja Tartumaa sotsiaaldemokraadid,Tartu sotsiaaldemokraadid,162,18
117593944980769,Jevgeni Ossinovski,Jevgeni Ossinovski,161,16
262611097699728,Kristen Michal Eesti,Eesti Reformierakond,145,2
104448868717451,Elar Niglas,Elar Niglas,139,4
1494079787505198,Reformierakond Jõgevamaal,Eesti Reformierakond,138,5
419827918155173,Jüri Ratas,Eesti Keskerakond,124,6
156757131149195,Reformierakond Saaremaal,Eesti Reformierakond,122,4
108255437477996,Maardu Hääl,Nikolai Degtjarenko,121,6
103025672707159,Tanel Tein Eesti 200,Tanel Tein,119,9
161682843916104,Isamaa Harjumaa,Isamaa Harjumaa,116,3
110302371945546,Palle Kõlar,Palle Kõlar,114,15
147697508607873,Valimised Eestis,Riigi valimisteenistus,113,3
665042497227056,Ismail Mirzojev,Ismail Mirzojev,110,3
110260035301887,Kristian Taska,Isamaa Erakond,101,4
470280006366562,Järvamaa Reformierakond,Eesti Reformierakond,101,4
112286627948070,Madle Lippus,Madle Lippus,≤100,5
480209788740942,Reformierakond Võrumaal,Eesti Reformierakond,≤100,3
466885806670211,Reformierakond Tartus,Eesti Reformierakond,≤100,7
161252453921396,Keskerakond,Keskerakond,≤100,10
2217643278496367,Riho Terras,Isamaa Erakond,≤100,3
627440857674196,Kristina Šmigun-Vähi,Kristina Šmigun-Vähi,≤100,2
437271780095830,Andres Sutt,Eesti Reformierakond,≤100,7
116589868004676,Andrus Ilumets,Andrus Ilumets,≤100,2
100157664754405,Ida-Viru sotsid / Соцдемы Ида-Вирумаа,Sotsiaaldemokraatlik Erakond,≤100,15
1660428050642539,Kristo Enn Vaga,Eesti Reformierakond,≤100,3
794578140901673,Kadri Tali,Kadri Tali,≤100,8
651496914998204,Marina Kaljurand,Marina Kaljurand,≤100,4
646902458783744,Isamaa Tallinn,Isamaa Erakond,≤100,7
557413407651794,Reformierakond Lääne-Virumaal,Eesti Reformierakond,≤100,3
848451318826273,Tanel Kiik,Tanel Kiik,≤100,2
503504990111763,Joosep Vimm,Joosep Vimm,≤100,12
466738123845160,Reformierakond Hiiumaal,Eesti Reformierakond,≤100,2
111320565124173,Priit Toobal,Priit Toobal,≤100,19
330368320498335,Reformierakond Tartumaal,Eesti Reformierakond,≤100,2
709212302463805,Yoko Alender,Eesti Reformierakond,≤100,6
117610381595276,Reforminoored,Eesti Reformierakond,≤100,13
1005846046291799,Heljo Pikhof,Heljo Pikhof,≤100,4
1833095483677090,Kagu-Eesti sotsid ja sõbrad,Sotsiaaldemokraatlik Erakond,≤100,14
1150508424999567,Reformierakond Valgamaal,Eesti Reformierakond,≤100,1
151654798762549,Kirill Avdejev,Kirill Avdejev,≤100,1
593272994436767,Lauri Läänemets,Lauri Läänemets,≤100,5
100848872742357,Kristjan Järvan,Kristjan Järvan,≤100,2
597528440274709,Konservatiivne Harjumaa,Raul Siem,≤100,2
1084372461606422,Raimond Kaljulaid,Kaljulaid Raimond,≤100,1
115155321470903,Ants Frosch,Ants Frosch,≤100,4
103452718842947,Kaarel Oja,Kaarel Oja,≤100,10
104576851941809,Rain Epler,Rain Epler,≤100,1
107445508907070,Kajar Lember,Sotsiaaldemokraatlik Erakond,≤100,2
1318329174861103,Reformierakond Läänemaal,Eesti Reformierakond,≤100,2
858852260806886,Reformierakond Ida-Virumaal,Eesti Reformierakond,≤100,2
596825990446451,Reformierakond Põlvamaal,Eesti Reformierakond,≤100,2
104171505716678,Karmo Kuri,Karmo Kuri,≤100,2
287084435337968,Heiki Hepner,Isamaa,≤100,1
105205335426468,Paul Puustusmaa,Paul Puustusmaa,≤100,4
426627097484750,Kalle Muuli,Isamaa Erakond,≤100,2
104007235879189,Helen Rebane,Helen Rebane,≤100,8
209974781053860,Rain Veetõusme,Isamaa Erakond,≤100,2
146947168749935,Riigi Infosüsteemi Amet,Riigi Infosüsteemi Amet,≤100,1
113663198281630,Jaanus Kriisk - Isamaa Tartu,Jaanus Kriisk,≤100,1
551578361975318,Raivo E. Tamm,Isamaa Erakond,≤100,1
102119709054002,Lauri Paeveer,Lauri Paeveer,≤100,1
935189710011895,Jaan Toots,Jaan Toots,≤100,7
112260408376672,Gerry Konnov,Isamaa Erakond,≤100,3
107482604511358,SALK,Salk,≤100,5
262020364316687,Karl Sander Kase,Kase Karl Sander,≤100,2
