Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
1040005229354252,Ukraine.ua,These ads ran without a disclaimer,59842,2
187668288312583,Otrivin,Haleon India,58742,4
404746486258732,Project Nanhi Kali,Project Nanhi Kali,55323,45
68793499001,UNICEF,These ads ran without a disclaimer,54086,2
21169267101,Give,Give,45829,40
486980998032652,BJP Karnataka,Bharatiya Janata Party (BJP),36926,3
791496597580042,Miracles Academy Of Arts & Media Pvt.Ltd.,Miracles Academy Of Arts & Media Pvt.Ltd.,27090,1
107395897271506,Kutumb,Swatantra Verma,23707,31
1521106071438318,CMO Chhattisgarh,Angle Advertising,18911,5
105671775473178,Jan Suraaj,Jan Suraaj,18427,95
106590262277076,"Chokho Kaam, Jaadugar Naam",Chokhokaam Jaadugarnaam,17945,17
174283119250672,Save the Children India,Bal Raksha Bharat,17033,80
104516512296314,Kartikeya Sharma,Adv Tech,16469,71
309587409080562,YSR Congress  Party - YSRCP,Jagane Kavali,16148,5
442710802417591,Baljeet Yadav,Baljeet Yadav,12416,11
270666596375251,Jhatkaa.org,Jhatkaa.org,11194,24
104211439033799,Jagane Kavali,Jagane Kavali,10344,40
1336625676375215,Only Natural Diamonds IN,These ads ran without a disclaimer,9830,2
523121567889527,Jitender Kumar Bhardwaj,Jitender Kumar Bhardwaj,9207,3
1947296068903392,Vinay Saxena,Manish Soni,8856,23
107414168269023,Telangana Atma Gouravam,telanganaatmagouravam.com,8553,44
103812439247204,Keshava Rajanna B Fanpage,Abishek Nb,8491,8
108019578732536,Khabar Rajasthan,Khabar rajasthan,7812,14
100549119644561,Jo Ram Ko Laye Hain Hum Unko Layenge,Abinash Moharana,7010,2
1826491730900559,Keshava Rajanna B,Abishek Nb,6898,5
285029500623,CARE India,CARE India,6885,26
220333908099821,Aam Aadmi Party Karnataka,Aam Aadmi Party Karnataka,6790,10
327120054405346,Jagananna ki Thoduga,Jagan Anna ki Thoduga,6774,78
326102339565,Oxfam India,Oxfam India,6342,21
103782051383159,School of Politics,School of Politics,6242,43
251971332383556,Yashveer Shoora,Mukesh Kumar Yadav,6012,4
187224327956733,Hankook Tire Global,These ads ran without a disclaimer,5778,1
100626912687369,Kai Yerisi Karunadigagi - ಕೈ ಏರಿಸಿ ಕರುನಾಡಿಗಾಗಿ,Kai Yerisi  Karunadigagi,5661,14
74713936682,PETA India,These ads ran without a disclaimer,5597,5
30290552843,Greenpeace India,Greenpeace India Society,5350,10
108861325372008,Bharat Bhagya Vidhata,BharatBhagyaVidhata,5320,11
105509495777453,సాలు దొర సెలవు దొర,selavudora.com,5045,78
102584546049699,Indira ka laal poore 5 saal,Indirakalaalpurepanchsaal,4867,46
102218576103904,Badlaav ki Aandhi Priyanka Gandhi,Badlaav Ki Aandhi Priyanka Gandhi,4726,13
1327351450720146,Pradhan Mantri Bhartiya Janaushadhi Pariyojana,Pharmaceuticals & Medical Devices Bureau of India,4715,8
605390272841833,Shrirang Appa Barne,Abhay Balu Ahire,4676,3
113364544766243,Congress Kallekai - ಕಾಂಗ್ರೆಸ್ ಕಳ್ಳೇಕಾಯ್,CongressKallekai.com,4623,6
103370585969591,Baghel ka Bharosa,Baghel Ka Bharosa,4599,25
1521106071438318,CMO Chhattisgarh,IVS Corporation,4513,4
113125761613615,Namma CM Bommai,Recro Media,4415,7
1521106071438318,CMO Chhattisgarh,Clarion IT,4282,3
110540565228341,Ganguly H Kurabathalli,Ganguly H Kurubathalli,4162,4
165714096933078,Piyush Goyal,Piyush Goyal,3943,2
1689373261361383,Saurabh Bahuguna,Raj Singh,3923,77
447456022283373,Amit Agarwal,Vaibhav Mittal,3814,3
