Page ID,Page name,Disclaimer,Amount spent (BAM),Number of ads in Library
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,294,10
1922268018023038,Raskrinkavanje,UG Zašto ne,148,20
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,103,20
102151872818424,Покренимо Бијељину - Pokrenimo Bijeljinu,Pokrenimo Bijeljinu,≤100,4
104197490039539,N1 Bosna i Hercegovina,N1 BiH,≤100,1
747053091978616,Fokus.ba,FOKUS d.o.o. Sarajevo,≤100,2
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),≤100,6
147315858633088,Istinomjer,Istinomjer,≤100,6
102667249419191,GenChange,Arijana Trle,≤100,1
111544041335161,Antikorupcija info,Antikorupcija.info,≤100,12
197596636939679,tacno.net,Tacno.net,≤100,3
109652028193268,Revizije info,Revizije info,≤100,11
789735661383506,Fondacija Tadž - Stipendiranje budućih hafiza,Fondacija Tadž - Stipendiranje budućih hafiza,≤100,1
109476371475566,Др Љубиша Петровић / Dr Ljubiša Petrović,Др Љубиша Петровић / Dr Ljubiša Petrović,≤100,4
111544041335161,Antikorupcija info,Antikorupcija info,≤100,7
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100,11
1894157260888813,Dr Vlado Đajić - Др Владо Ђајић,Vlado Đajić,≤100,2
1494057107558990,Javna rasprava,Javna rasprava,≤100,14
100291101730616,Jasmin Ademović,Jasmin Ademovic,≤100,1
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100,4
103088084884704,Fondacija Atelje za društvene promjene - ACT,Fondacija Atelje za društvene promjene - ACT,≤100,1
163080080447411,Републичка странка Српске,Filip Lučić,≤100,3
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,1
110760128594320,Muhamed Hasanović,Muhamed Hasanovic,≤100,2
823788047675556,Call of War,These ads ran without a disclaimer,≤100,2
222968021092962,RTV Slon - Tuzla,RTV SLON,≤100,1
104089781069241,infoVeza,"Udruženje građana ""ReStart Srpska""",≤100,1
2401351939921390,Raport.ba,Raport Media Group,≤100,1
106937677998846,Pravo na lijek,Pravo na lijek,≤100,2
1454304308161318,"Koalicija ""Pod lupom""","Koalicija ""Pod lupom""",≤100,2
107611431847020,Pokret za pravdu i red Nebojša Vukanović - Ugljevik  Lopare  Bijeljina,Darko Marjanovic,≤100,1
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa,≤100,1
102343781660824,Ajdin Holjan,Ajdin Holjan,≤100,1
120481645203741,Dragan Bursać,Dragan Bursać,≤100,1
177694669315988,Nedeljko Ćorić,Недељко Ћорић,≤100,1
332496257320171,Alen Girt,Alen Girt,≤100,1
351671375760473,The GCCA,These ads ran without a disclaimer,≤100,1
326185650853734,Zukan Helez,OO SDP BiH Bugojno,≤100,1
85069283164,Admir Čavalić,Admir Čavalić,≤100,1
506759763041477,Čapljina u srcu,Pero Previšić,≤100,1
269552470543951,Husein Tokić,Husein Tokić,≤100,1
102500518635499,ENTR en,These ads ran without a disclaimer,≤100,1
110150132017819,nadRealno,These ads ran without a disclaimer,≤100,1
100654109495322,Neta Auto,These ads ran without a disclaimer,≤100,1
555755224474277,Josefinas,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
154573638492041,Cannabis Europa,These ads ran without a disclaimer,≤100,1
116587504706006,htecgroup,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,1
474314055968372,fischer group,These ads ran without a disclaimer,≤100,1
305608429284,EU Environment,These ads ran without a disclaimer,≤100,1
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,1
1484566378531473,Yadea,These ads ran without a disclaimer,≤100,1
124275457632741,ElectronicSpecifier,These ads ran without a disclaimer,≤100,1
108301621007688,Girl Now Woman Later Inc,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
110038557114533,5 Media,These ads ran without a disclaimer,≤100,3
209706929052312,Wishfitme,These ads ran without a disclaimer,≤100,2
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,2
423670114403144,Trending in China,These ads ran without a disclaimer,≤100,4
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
445678628842216,072info,072media,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,1
360408823991223,Ĉina Radio Internacia,These ads ran without a disclaimer,≤100,1
