Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
120370174702378,Magyarország Kormánya,Magyarország Kormánya,218876,1
543788999005363,ORIGO,Mediaworks Hungary Zrt.,203208,12
109637397268775,Nyugati Pályán,Splendidea Communications Kft,176786,3
1880809845328535,Dobrev Klára,Demokratikus Koalíció,137392,21
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,125879,10
191461774219575,hirado.hu,hirado.hu,117334,25
1534911313439123,Ripost,Ripost,109389,10
248172631940,Mandiner,Mediaworks Hungary Zrt.,103557,9
178362315106,European Parliament,European Parliament,95405,12
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,88080,9
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,81246,7
187280168720178,NE HAGYD,International Organization for Migration (IOM) Hungary,52327,16
594088897289853,Alapjogokért Központ,Alapjogokért Központ,48281,15
592204747588011,Momentum Mozgalom,Momentum Mozgalom,38010,1
264517713636590,PestiSracok.hu,PestiSrácok.hu,37917,8
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,37136,3
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,36731,6
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,35915,11
365977046868250,Nemzeti Agrárgazdasági Kamara - NAK,Nemzeti Agrárgazdasági Kamara,35519,3
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,33882,7
431912934327201,Lőcsei Lajos,Momentum Mozgalom,31002,1
451844608304228,Metropol,Metropol,27411,6
614294538753164,Dunántúli Regionális Vízmű Zrt. hivatalos oldala,Dunántúli Regionális Vízmű Zrt.,26329,9
107898832590939,European Commission,European Commission,24608,4
193640214178356,Gyopáros Alpár,Gyopáros Alpár,23364,5
131283758531,HVG,HVG Kiadó ZRt.,21816,14
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,20129,5
2309737912651039,Péterffy Attila,Péterffy Attila,17790,4
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,17161,1
2123879007657024,Momentum Eger,Momentum Mozgalom,16814,3
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,16003,2
193702058028595,Lázár János,Lázár János hivatalos oldala,14866,3
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,14084,3
100299381703981,Ps TV,PestiSrácok.hu,13878,3
135049793193159,IH Rendezvényközpont,Green Team Event & Marketing Kft.,13874,9
76748198685,Budapest Pride,Budapest Pride,13693,10
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,13474,4
221761091331222,Danube Institute,Danube Institute,13346,14
143151351544,Színházi Olimpia 2023 / Theatre Olympics 2023,Szinházi Olimpia Nonprofit Kft.,13324,7
376436808069,Eventim - Ticket Express Hungary,TEX Hungary Kft.,12891,1
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,12175,1
108248022589754,Bosch Magyarország,Bosch Magyarország,11875,8
193944440638410,Karácsony Gergely,Budapest Főváros Önkormányzat,11767,3
108346693873484,Győrffy Balázs,Balazs Gyorffy,11595,2
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,11582,6
506348326210466,Ungár Péter,LMP - Magyarország Zöld Pártja,11557,6
108995848702971,Frankó,Mondjuk a frankót,11208,1
537817739693723,Brain Bar,Brain Bar,10775,8
101897961290159,Momentum XVIII. kerület,Momentum Mozgalom,10082,3
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,9888,63
