Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
101875098313543,Andel,Andel,7747,14
399210657232918,PlanBørnefonden,PlanBørnefonden,6700,25
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,6184,26
12860228293,Politiken,Politiken,5544,26
26458152911,SOS Børnebyerne,SOS Børnebyerne,5083,18
65929129383,Røde Kors,Røde Kors,3941,31
599763040213164,Radius Elnet,Radius Elnet,3749,2
304554445813,Videncentret Bolius,Videncentret Bolius,3593,24
59143726810,Psykiatrifonden,Psykiatrifonden,3553,3
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,2505,58
748887235210811,Obton Forvaltning A/S,Obton A/S,2480,16
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,2144,41
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,1920,19
63691965101,UNICEF Danmark,UNICEF Danmark,1796,2
12787473132,Berlingske,Berlingske,1570,22
55365680705,Greenpeace Danmark,Greenpeace Danmark,1446,17
54779960819,United Nations,United Nations with Facebook Ad Credits,1438,2
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,1431,2
167887506877,AIDS-Fondet,AIDS-Fondet,1417,10
167891603415958,Lederne,Lederne,1323,38
867877683280051,Weekendavisen,Weekendavisen,1283,21
102031171445921,Grønne Nabofællesskaber,Grønne Nabofællesskaber,1244,42
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,1209,33
125934997444897,SuperBrugsen,Coop,1176,4
123653695693986,Motatos Danmark,Motatos,1112,12
924692171033381,"UNHCR, FN’s Flygtningeorganisation",These ads ran without a disclaimer,1093,4
104544224264943,3F Transport,3F Transport,1042,1
126543540781090,Ældre Sagen,Ældre Sagen,1020,10
142641498926,Fairtrade-mærket Danmark,Fairtrade Danmark,963,42
102154048301476,Lederstof.dk,Lederne,956,26
314676938743,DM din akademiske fagforening,DM,871,14
1471913586453233,Organdonation - ja tak,Organdonation - ja tak,852,2
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,842,7
220361474643059,Arla,Arla,791,12
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,782,18
12212835049,Syddansk Universitet – University of Southern Denmark,Syddansk Universitet,754,6
250994288337708,Sex og Samfund,Sex og Samfund,709,4
304554445813,Videncentret Bolius,Bolius,685,3
141343589252160,Dansk Industri - DI,Dansk Industri,667,1
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,652,6
