Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
1904070096535109,スマート選挙,株式会社センキョ,112755,44
112523977041775,参政党,参政党,103863,62
475681929154100,国連UNHCR協会,国連UNHCR協会,49266,13
651801698258818,NewsTV,NewsTV,41659,8
684161888345926,西日本新聞me,西日本新聞me,30720,9
239558679475625,株式会社トマス技術研究所,Kenji Fukutomi,19823,13
107434722289629,鈴木あきまさ（鈴木晶雅）大田区･東京都議会議員,鈴木あきまさ,18423,2
208661552479830,日本財団,Shigeru Fujita,14019,10
103914976352692,選挙ドットコム,イチニ株式会社,9731,1
105675478186991,金井たかし　江戸川区の政策研究,金井 高志,7897,4
102468941548369,宮城県民共済,宮城県民共済,7640,2
579187028792625,社長と会社の手元現金を増やす仕組みづくりの専門家,社長と会社の手元現金を増やす仕組みづくりの専門家,7463,1
101946646061849,アップデートおおさか,アップデートおおさか,6391,1
103817759311985,小林たけし（自民党）川崎市麻生区で政治活動中！,小林たけし,5189,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,4917,3
2317579431859030,岐阜県議会議員 さとう武彦,岐阜県議会議員 さとう武彦,3960,1
100251962938282,スピリチュアル心理,These ads ran without a disclaimer,3835,1
109760801771369,橋本 みきひこ,橋本 みきひこ,3678,6
346736506518940,政治家　沼谷純,寺内 崇浩,3025,1
766572097059549,平野恭子,郷学,2933,1
110293788602871,天野英雄（岡山県笠岡市･自民党）,天野英雄（岡山県笠岡市･自民党）,2909,1
118177257866209,竹内つねお後援会「持続可能な美浜町を構想する会」,竹内つねお後援会,2788,1
106898772340795,Kk株式投資サークル,These ads ran without a disclaimer,2527,2
108971153774431,品川区議会自民党,株式会社マイム,2357,1
107367904080878,VIVA-たいけん美じゅつ場-,NPO法人取手アートプロジェクトオフィス,2083,2
108491485442354,下川たかひこ後援会,下川たかひこ後援会,2050,6
428707860616752,文京区議会議員えびさわけいこ,えびさわけいこ事務所,2045,1
104525832559827,ごとう慎太郎,後藤　慎太郎,1672,2
104837455833648,Issues_ad,株式会社issues,1650,6
435250336532462,財界さっぽろ,Daisuke Shimizu,1632,1
100370856335326,日本維新の会　原ひでと,原ひでとオフィシャルサイト,1553,1
464822496891330,いい投票／e投票,株式会社グラント,1463,3
