Page ID,Page name,Disclaimer,Amount spent (EGP),Number of ads in Library
798673866859390,ETC TV,ETC TV,4083,49
100835565731657,Ahmed Amin Massoud - أحمد أمين مسعود,Ahmed Amin Massoud - أحمد أمين مسعود,3418,6
145505648808327,Resala Charity Organization - جمعية رسالة للاعمال الخيرية,These ads ran without a disclaimer,2263,1
109633578582976,إسحق أنور ishak Anwar,Amal Anwer,963,1
192320965049184,الإعلامية نيفين منصور,Nivine Mansour,660,8
106450555171099,مجدي البري - Magdy Elbery,مجدي البري - Magdy Elbery,627,5
102752291431181,المهندس حازم الجندي - Hazem ElGendy,المهندس حازم الجندي - Hazem ElGendy,609,5
107767437680846,أحمد صلاح الطاروطي,Suzie Raafat,513,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,506,2
112132621789349,Support Youssef - عشان يوسف,Support Youssef - عشان يوسف,506,2
105096455624550,Tamer abdelhamid - تامر عبد الحميد,Tamer abdelhamid - تامر عبد الحميد,503,6
354968941204659,الدكتور أيمن أبو العلا عضو مجلس النواب,الدكتور أيمن أبو العلا عضو مجلس النواب,489,10
102883459081121,Mohamed Taher - محمد طاهر,Mohamed Taher - محمد طاهر,478,7
108210648333964,محمود طاهر -Mahmoud Taher,محمود طاهر -Mahmoud Taher,430,4
2387453467944128,Magallanes National High School - Agusan del Norte Division,These ads ran without a disclaimer,429,1
181524565276709,الهلال الأحمر المصري - Egyptian Red Crescent,الهلال الأحمر المصري - Egyptian Red Crescent,422,2
319044774889435,المركز الإعلامي للنائب هاني خضر,النائب هاني خضر,409,3
110877857406073,المهندس حسام لبن,المهندس حسام لبن,406,5
107437123979528,Tuxes,These ads ran without a disclaimer,394,2
1916894871881712,يونس عبدالرازق - Younes abdelrazek,يونس عبدالرازق - Younes abdelrazek,387,3
707511176015990,علاء حمدى قريطم - Alaa Hamdy Koraitem,علاء حمدى قريطم - Alaa Hamdy Koraitem,382,4
118992379972310,Fatmah Selim - فاطمة سليم,Fatmah Selim - فاطمة سليم,363,7
666470146818916,مؤسسة جبر القلوب,Mohamed Elsafty,353,2
1677128205908462,Islam Bahi El-Din - إسلام بهي الدين,Islam Bahi El-Din - إسلام بهي الدين,352,4
273900239400893,نقابة المحامين المصرية,نقابة المحامين المصرية,325,4
109093158038193,Mohamed El Manzalawi - محمد المنزلاوي,Mohamed El Manzalawi - محمد المنزلاوي,318,4
1720882541553191,حسن عمار - Hassan Ammar,حسن عمار,305,2
112072071382470,أحمد الفار - Ahmed Elfar,Noha Mohamed Ibrahim,302,2
104198795953934,جمعية أصدقاء مرضى الأورام بالشرقية,Mohamed Basher,301,1
103004372363887,عماد الصباغ,عماد الصباغ,276,1
1424610401122573,هاني العتال - Hany Alattal,محمد السيد عبد الستار,268,3
117690156743688,النائب حافظ عمران,Shôükrý Ömrãñ,263,3
103204975886755,البديوي السيد - الصفحة الرسمية,Mohamed Elbedewy,252,8
106586485351141,صفحة النائب اشرف الشبراوي ابو العلا,Elsayed Mohamed Ali,249,1
103591834853142,Hamoda Mohamed Hamoda - حموده محمد حموده,Mahmoud Raafat Idris,238,3
101586878327765,Hassanein Tawfiq - حسانين توفيق,Hassanein Tawfiq - حسانين توفيق,236,6
2035593490055091,النائب عمرو القطامي,سيد أحمد,217,3
308088503057656,النائب محمود عصام,النائب محمود عصام,215,8
110734497396339,محمود سامي - 𝐌𝐚𝐡𝐦𝐨𝐮𝐝 𝐒𝐚𝐦𝐲,Mahmoud Samy,214,2
114229523780037,أحمد إبراهيم البنا - Ahmed Ibrahim Elbanna,Ahmed El Banna,211,1
101516486048536,CDIS - Egypt Cybersecurity & Data Intelligence Systems Conference & Expo,CDIS Cybersecurity and Data Intelligence Conference and Expo,200,8
663508057123324,جمعية رسالة للأعمال الخيرية بالدقهلية,جمعية رسالة للأعمال الخيرية بالدقهلية,197,3
100260044903448,دعاء عريبي,دعاء عريبي,160,3
535371883202755,Freddy Elbaiady  صفحة فريدي البياضي,Freddy Elbaiady  صفحة فريدي البياضي,153,2
103745798627292,المستشار ماهر ميلاد اسكندر,المستشار ماهر ميلاد اسكندر,152,2
104498482361244,شفرة الحقيقة - Eslam Elbahrawy,إسلام البحراوي,148,1
801866783213943,محمد طلبة - Mohamed Tolba,Mohamed Elsayed Tolba,147,2
866153827088050,Bankawy - بنكاوى,Hany Adel,143,3
110031078652299,جمعية البر والتقوى المصرية - الصعيد,جمعية البر والتقوى المصرية - الصعيد,133,1
167635259953475,Sky News Arabia سكاي نيوز عربية,These ads ran without a disclaimer,120,1
456752884664906,الدكتور / على بدر عضو مجلس النواب أمين اللجنة الدستورية والتشريعية,سمير على,119,1
100649185891169,Maged Hanna,These ads ran without a disclaimer,119,1
100391255098382,Amal Ramzy,Basem Ragab,117,2
103283332669003,مؤسسة جمال الجارحي للتنمية المجتمعية,محمد السيد عبد الستار,111,1
1994786354105727,النائب أحمد فرغلى,احمد فرغلى,109,1
532134937722830,النائبة أميرة بهاء الدين أبو شقة,Gehad Ali,108,1
105322721599496,الدكتور محمد زكي الوحش,الدكتور محمد زكي الوحش,≤100,1
1934139156895621,د.خالد قنديل Dr.Khaled Kandel,Basel Noufal,≤100,1
106719921012688,Ahmed Bahaa Shalaby-أحمد بهاء شلبي,Integrated Marketing Communications For Media.IMC,≤100,4
111393504057042,د/ مها عبد الناصر,د/ مها عبد الناصر,≤100,2
469201610080869,Binance,These ads ran without a disclaimer,≤100,2
1012904038778488,سامح فتحي حبيب,سامح فتحي حبيب,≤100,2
2298420967037841,النائب محمد عزت عرفات,النائب محمد عزت عرفات,≤100,2
101361307958442,Mohamad ElGarhy,محمد السيد عبد الستار,≤100,1
595025640685644,النائبة شيرين عبد العزيز - Sherin abdelaziz,النائبة شيرين عبد العزيز - Sherin abdelaziz,≤100,2
109366127595756,Ahmed dandash    الصفحه الرسميه للدكتور احمد دندش عضو مجلس النواب,Ahmed dandash    الصفحه الرسميه للدكتور احمد دندش عضو مجلس النواب,≤100,1
2102862883129084,حجازى للاستشارات القانونية,حجازى للاستشارات القانونية,≤100,2
103429981452280,Hesham ElhagAly - هشام الحاج علي,Hesham Elhagaly,≤100,3
111765364910685,حماده عطيه,Mazen Attia,≤100,1
101413676017001,Box2Box مع محمد شبانة,محمد السيد عبد الستار,≤100,1
103291013528894,Dr.Mokhtar Gomaa,Ahmed Zaatar,≤100,1
101288461667738,Senator Yasser Zaki - النائب ياسر زكى,محمود عبدالعال محمد,≤100,2
722451731176495,يوميات طالب,These ads ran without a disclaimer,≤100,1
112161944845807,Nevein Basiouny,Muhammad Nash'at,≤100,1
1917715138510680,Follow Your Legend,These ads ran without a disclaimer,≤100,4
102703968944759,مصر الآن,مصر الآن,≤100,1
108927510969680,الصفحة الرسمية للنائبة د. صبورة السيد,الصفحة الرسمية للنائبة د. صبورة السيد,≤100,2
1580777865479495,الصفحة الرسمية للعميد علاء خيرالله - عضو مجلس النواب,Mohamed Rashad Khirallah,≤100,1
107096734501088,النائبة منى عمر عضو مجلس النواب,Shymaa Adel,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,2
103315778193642,الصفقة,Kareem Ahmed Abdul Ghani,≤100,1
107986844436626,City Drink سيتي درينك الأقصر,These ads ran without a disclaimer,≤100,1
282421105588262,Alraees News- الرئيس نيوز,Kareem Ahmed Abdul Ghani,≤100,1
100206182214373,دراما تيكا,These ads ran without a disclaimer,≤100,1
116476318035354,,These ads ran without a disclaimer,≤100,1
103301928661374,Mervat Abdelazeem - النائب د. ميرڤت عبد العظيم - الصفحة الرسمية,احمد عبد التواب,≤100,2
1039947406155839,بسيون,بسيون,≤100,1
118932207798163,Rehab Eltehewy - رحاب التحيوي,حسين السيد,≤100,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,2
