Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
101962028006886,ΕΣΠΑ,ΕΣΠΑ - Υπουργείο Ανάπτυξης και Επενδύσεων,1035,40
178362315106,European Parliament,European Parliament,420,10
91877963116,WWF Greece,WWF Greece,282,16
506505539504717,Ευρώπη Κοσμίδη,Ευρώπη Κοσμίδη,165,3
123836729361,New York College,New York College,136,2
239059192856378,parapolitika.gr,parapolitika.gr,134,54
309795039074935,Vassilis Kikilias,Vassilis Kikilias,129,2
192906947432657,Protagon.gr (official),Protagon.gr (official),123,62
526882294515877,Νίκος Παπαθανάσης - Nikos Papathanasis,Nikos Papathanasis,113,7
102175189751,gazzetta.gr,Gazzetta,106,2
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,103,2
142786442458509,Onassis Stegi,ONASSIS STEGI,≤100,2
117261614999869,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,≤100,28
500502740051092,Harry Theoharis,Harry Theoharis,≤100,1
100771372008093,powergame.gr,POWERGAME,≤100,56
363043533801771,Grant Thornton Greece,Grant Thornton Greece,≤100,3
287878625015994,Reader.gr,Reader.gr,≤100,6
111176762297235,Φραγκίσκος Παρασύρης - Freddy Parasiris,Freddy Parasiris,≤100,5
1554850174582846,politic.gr,Politic.gr,≤100,2
216089191899991,Νίκος Ανδρουλάκης,ΠΑΣΟΚ - Κίνημα Αλλαγής,≤100,1
104299506270374,Euro2day,Euro2day,≤100,7
721977794806332,Mikelis Chatzigakis - Μικέλης Χατζηγάκης,Mikelis Chatzigakis,≤100,17
134135906635470,newsbomb.gr,newsbomb.gr,≤100,4
237671756442583,Περιφέρεια Κεντρικής Μακεδονίας,Orange Advertising,≤100,6
159977541380043,The President,The President,≤100,26
105845878599873,Πατριωτική Ένωση - Πρόδρομος Εμφιετζόγλου,Πανελλήνια Πατριωτική Ένωση,≤100,3
325604665061611,MSD Greece,MSD Greece,≤100,1
104027679003176,Νίκος Παπάζογλου Υποψήφιος βουλευτής Νοτίου Τομέα Β’3 Αθηνών,Νίκος Παπάζογλου Υποψήφιος βουλευτής Νοτίου Τομέα Β’3 Αθηνών,≤100,12
1637375619619220,Άγγελος Αγραφιώτης,Άγγελος Αγραφιώτης,≤100,1
187536188017430,Άγγελος Τσιγκρής,Angelos Cigris,≤100,7
107718178601878,Banks.com.gr Business News,ETHOS MEDIA,≤100,10
1438293789797221,ecoelastika,ecoelastika,≤100,4
1748153855406537,vradini.gr,vradini.gr,≤100,15
101011924607948,Δόμνα Μιχαηλίδου - Domna Michailidou,Δόμνα Μιχαηλίδου - Domna Michailidou,≤100,5
