Location name,Amount spent (GTQ)
Alta Verapaz Department,219
Baja Verapaz Department,≤100
Chimaltenango Department,151
Chiquimula Department,115
El Progreso Department,≤100
Escuintla Department,287
Guatemala Department,5367
Huehuetenango Department,255
Izabal Department,194
Jalapa Department,≤100
Jutiapa Department,145
Petén Department,111
Quetzaltenango Department,341
Quiché Department,159
Retalhuleu Department,132
Sacatepéquez Department,174
San Marcos Department,630
Santa Rosa Department,136
Sololá Department,112
Suchitepéquez Department,665
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
