Location name,Amount spent (JPY)
Aichi Prefecture,31176
Akita Prefecture,10771
Aomori Prefecture,3124
Chiba Prefecture,21715
Ehime Prefecture,2931
Fukui Prefecture,2384
Fukuoka Prefecture,57774
Fukushima Prefecture,4454
Gifu Prefecture,7417
Gunma Prefecture,11207
Hiroshima Prefecture,6736
Hokkaido,16176
Hyōgo Prefecture,22358
Ibaraki Prefecture,6715
Ishikawa Prefecture,3150
Iwate Prefecture,2804
Kagawa Prefecture,3047
Kagoshima Prefecture,3571
Kanagawa Prefecture,40261
Kumamoto Prefecture,8330
Kyoto Prefecture,9198
Kōchi Prefecture,1414
Mie Prefecture,5174
Miyagi Prefecture,11230
Miyazaki Prefecture,3632
Nagano Prefecture,7995
Nagasaki Prefecture,6711
Nara Prefecture,4287
Niigata Prefecture,4686
Okayama Prefecture,8165
Okinawa Prefecture,5873
Osaka Prefecture,37145
Saga Prefecture,5833
Saitama Prefecture,28574
Shiga Prefecture,4527
Shimane Prefecture,2804
Shizuoka Prefecture,13666
Tochigi Prefecture,35399
Tokushima Prefecture,1909
Tokyo,111043
Tottori Prefecture,941
Toyama Prefecture,2675
Unknown,≤100
Wakayama Prefecture,5386
Yamagata Prefecture,3111
Yamaguchi Prefecture,3136
Yamanashi Prefecture,3073
Ōita Prefecture,7036
