Location name,Amount spent (VND)
An Giang Province,42360
Bà Rịa–Vũng Tàu Province,41324
Bình Dương Province,72969
Bình Phước Province,34135
Bình Thuận Province,37379
Bình Định Province,106012
Bạc Liêu Province,5399
Bắc Giang Province,46277
Bắc Kạn Province,2015
Bắc Ninh Province,38015
Bến Tre Province,7791
Cao Bằng Province,4939
Cà Mau Province,6253
Cần Thơ,35920
Da Nang,47788
Gia Lai Province,35675
Haiphong,53990
Ho Chi Minh City,334595
Hà Giang Province,2408
Hà Nam Province,6407
Hà Tĩnh Province,427751
Hòa Bình Province,5539
Hưng Yên Province,9021
Hải Dương Province,41814
Hậu Giang Province,2696
Khánh Hòa Province,43166
Kiên Giang Province,36090
Kon Tum Province,3563
Lai Châu Province,1130
Long An Province,36971
Lào Cai Province,4808
Lâm Đồng Province,42716
Lạng Sơn Province,6652
Nam Định Province,39625
Nghệ An Province,916453
Ninh Bình Province,7151
Ninh Thuận Province,4259
Phú Thọ Province,39850
Phú Yên Province,39078
Quảng Bình Province,32304
Quảng Nam Province,44246
Quảng Ngãi Province,34640
Quảng Ninh Province,38393
Quảng Trị Province,6971
Sóc Trăng Province,32347
Sơn La Province,33153
Thanh Hóa Province,64681
Thái Bình Province,38510
Thái Nguyên Province,60591
Thừa Thiên–Huế Province,38725
Tiền Giang Province,38339
Trà Vinh Province,6014
Tuyên Quang Province,7439
Tây Ninh Province,34820
Unknown,≤100
Vĩnh Long Province,6199
Vĩnh Phúc Province,34116
Yên Bái Province,68019
Điện Biên Province,3570
Đắk Lắk Province,43064
Đắk Nông Province,4536
Đồng Nai Province,82879
Đồng Tháp Province,34478
