Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
104811292976689,SOS violence conjugale,SOS violence conjugale,4280,21
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Dairy Farmers of Canada,4154,43
113969008665734,Ministère de la Santé et des Services sociaux (MSSS),Ministère de la Santé et Services sociaux,4114,36
203652059653094,Government of British Columbia,Government of British Columbia,4054,5
163336718421,PSAC - AFPC,PSAC - AFPC,3664,58
632493333805962,Environment and Climate Change,Environment and Climate Change Canada,3119,15
155609655007428,United Conservative Party of Alberta,United Conservative Party of Alberta,3009,16
109045051805492,Made The Canadian Way,Canadian Energy Centre,2643,20
544846182381424,United Conservative Caucus,United Conservative Caucus,2512,26
154462904588700,Enbridge Gas,Enbridge Gas,2503,75
113297740077607,Canadian Energy Centre,Canadian Energy Centre,2337,113
338645782840713,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",Ministère de l'Environnement et de la Lutte contre les changements climatiques,2056,3
102828041144081,Here For Students,Ontario Secondary School Teachers' Federation (OSSTF),1829,6
115835521825983,UNHCR Canada,UNHCR Canada,1531,61
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,1434,28
230448456985193,Elections Ontario,Elections Ontario,1430,4
139019864276,Oxfam Canada,Oxfam Canada,1303,26
405377872902754,Canada Action,Canada Action,1264,48
167800183238142,YourAlberta (Government of Alberta),Government of Alberta,1157,21
106231507615280,Delivering Community Power - Vers des collectivités durables,Canadian Union of Postal Workers,1074,8
196322807083503,OECTA - Ontario English Catholic Teachers Association,OECTA - Ontario English Catholic Teachers Association,978,13
108635379686,CNIB,CNIB,950,32
146592973368,Sunnybrook Health Sciences Centre,Sunnybrook Foundation,946,141
1097840090260804,National Police Federation,National Police Federation,946,99
447980405253906,Public Service Alliance of Canada - Prairie Region,Public Service Alliance of Canada - Prairie Region,877,11
370233926766473,Environnement et Changement climatique,Environnement et Changement climatique Canada,821,15
177004795666755,Manitoba Government,Manitoba Government,817,20
171258630277,Commission des droits de la personne et des droits de la jeunesse,Commission des droits de la personne et des droits de la jeunesse,785,2
167577709932867,Fédération des professionnelles et  professionnels de l'éducation FPPE,Fédération des professionnelles et  professionnels de l'éducation FPPE,778,12
177741812241442,SCFP-Québec,le SCFP,772,23
16761458703,University of British Columbia,The University of British Columbia,757,4
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,711,61
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,706,64
394745970602999,The Council of Canadians,The Council of Canadians,693,23
184856436064,Canadian Centre for Child Protection,Canadian Centre for Child Protection,651,12
107385241806,Plan International Canada,Plan International Canada,641,31
222039741253078,CUPE Saskatchewan,CUPE Saskatchewan,626,13
270323369737229,Elections Alberta,Elections Alberta,612,8
586362242026180,Radio-Canada OHdio,Radio-Canada,604,20
105168452865235,Bell Aliant,Bell,603,1
134147499998111,Ministère de la Sécurité publique du Québec,Ministère de la Sécurité publique,593,6
117926081552324,Équiterre,Équiterre,538,25
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,535,57
261752512263,Canadian Red Cross,Canadian Red Cross,533,13
235872037238940,She Is Indigenous,Les Femmes Michif Otipemisiwak / Women of the Métis Nation,504,120
186062823629,Québec sans tabac,Conseil québécois sur le tabac et la santé,502,12
113305766875943,SIDE-Sommet international de l'écocitoyenneté,SIDE-Sommet international de l'écocitoyenneté,477,67
26394435211,Canadian Cancer Society,Canadian Cancer Society,476,1
1456690611311640,Canadian Health Coalition,Canadian Health Coalition,475,25
31912359596,University of Saskatchewan,University of Saskatchewan,444,42
