Page ID,Page name,Disclaimer,Amount spent (SGD),Number of ads in Library
168071043252655,Pro Enterprise Panel - PEP,"Pro-Enterprise Panel, Ministry of Trade & Industry",543,2
453961014813944,UOB,UOB,492,6
109555293685,Gov.sg,Gov.sg,469,4
365481993536188,TAFEP Tripartite Alliance for Fair and Progressive Employment Practices,TAFEP,421,2
153763430481,Temasek Polytechnic,Temasek Polytechnic,347,8
176560205832891,Our SG – Home of Forward SG,Our SG – Home of Forward SG,298,6
215341045518389,GIC,GIC,215,8
200480966638039,Supremacy 1914,These ads ran without a disclaimer,167,2
106517704482191,Youthopia SG,National Youth Council,153,2
98511430597,CNB Drug Free SG,CNB Drug Free SG,134,1
219541704832846,National Reading Movement,National Reading Movement,111,1
2052922968263010,96.3好FM,Nur Ashiqin Binti Jaffar,101,6
129011692114,The Straits Times,The Straits Times,≤100,1
219808688070361,Ministry of Sustainability and the Environment,Ministry of Sustainability and the Environment,≤100,4
467260466759436,Global Ehsan Relief,Global Ehsan Relief,≤100,10
1531909430459040,Schneider Electric,Schneider Electric,≤100,4
168442899846653,Ministry of Finance (Singapore),Ministry of Finance (Singapore),≤100,1
160823460655497,Lianhe Zaobao 联合早报,Lianhe Zaobao 联合早报,≤100,2
115161084044,World Vision Singapore,World Vision Singapore,≤100,10
256953359544240,ExxonMobil Singapore,ExxonMobil,≤100,8
321854601115,Yellow Ribbon Singapore,These ads ran without a disclaimer,≤100,1
126996258015076,Global Ehsan Relief Singapore,Global Ehsan Relief Singapore,≤100,5
442714999084704,Kiss92,Nur Ashiqin Binti Jaffar,≤100,1
1389010631425852,World Scientific Singapore,World Scientific Publishing Co. Pte Ltd,≤100,7
136982159795537,Institute of Policy Studies - IPS,Institute of Policy Studies,≤100,1
111253634015629,Regardless,Regardless,≤100,1
101047969257249,Project Search,These ads ran without a disclaimer,≤100,1
485555938296885,Aman Palestin Berhad,These ads ran without a disclaimer,≤100,1
105193687974134,TWC2 Tamil,Transient Workers Count Too - TWC2,≤100,1
1468082613467781,Nee Soon Town Council,Nee Soon Town Council,≤100,1
105640164784251,Singapore United Party,Zhu Laicheng,≤100,2
105330635666194,中国驻新加坡使馆公使张徐民 DCM and Minister in China Embassy to Singapore_Zhang Xumin,中国驻新加坡使馆公使张徐民 DCM and Minister in China Embassy to Singapore_Zhang Xumin,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
544839212224351,PACE Academy at SP,These ads ran without a disclaimer,≤100,1
276132242902006,Western Digital,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
570175473079180,国际特赦组织中文 Amnesty International Chinese,These ads ran without a disclaimer,≤100,1
1461359247295079,Daily-Choices,These ads ran without a disclaimer,≤100,1
114247604036354,Инфограф,These ads ran without a disclaimer,≤100,1
112675286764083,Aggregates Business,These ads ran without a disclaimer,≤100,1
145752338944033,Air China,These ads ran without a disclaimer,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,1
126376977448682,GEP Worldwide,These ads ran without a disclaimer,≤100,1
