Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
400259033450192,Ministère du Budget-CI,Konan Arsène Yao,≤100,4
263299207654443,Moussa Sanogo,Konan Arsène Yao,≤100,5
244922065530890,Gouvernement de Côte d'Ivoire,Gouvernement de Côte d'Ivoire,≤100,3
105737911457430,Sylvie Patricia YAO,Patricia Sylvie Koko,≤100,1
103856684290801,Yacourwa Boue Kone,Kone Yacourwa,≤100,1
1048338425180638,Adjaratou Traoré,Patrick Franck Moreau,≤100,2
103972089633572,Dr Abdallah Toikeusse MABRI,Dr Abdallah Toikeusse MABRI,≤100,1
808119029346832,Amédé Koffi Kouakou,Malan Abraham-Wilfried  N'djorey,≤100,2
302183990175912,Haute Autorité pour la Bonne Gouvernance,Haute Autorité pour la Bonne Gouvernance,≤100,1
434522397048552,Sarahadam,Sarahadam,≤100,1
101231651820095,"Fondation l'univers des livres,  de la lecture et de la dictée",Sonia Boguifo,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
101604036098160,soumahoro Mamadou,These ads ran without a disclaimer,≤100,1
111595864923192,Aasi Tahir Siddique,These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,1
117381444649636,Docteur N'goran Israël Norbert,These ads ran without a disclaimer,≤100,1
120498394320803,C301-40,These ads ran without a disclaimer,≤100,1
461895657190529,NHK WORLD-JAPAN,These ads ran without a disclaimer,≤100,1
104365502564499,Diasp’Afrika,These ads ran without a disclaimer,≤100,1
1767096530199949,Zhejiang University,These ads ran without a disclaimer,≤100,1
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,1
153063591397681,Amazon Web Services,These ads ran without a disclaimer,≤100,1
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,6
