Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
147084112022235,La Nouvelle Tribune,La Nouvelle Tribune,457,7
1081434028658964,وزارة الانتقال الطاقي والتنمية المستدامة,وزارة الانتقال الطاقي والتنمية المستدامة,≤100,4
1117512094962616,Ministère de l’Industrie et du Commerce,MCINET,≤100,3
578201022242371,MJCC وزارة الشباب والثقافة والتواصل,"Ministère de la Jeunesse, de la Culture et de la Communication",≤100,10
272535046654,HESPRESS,HESPRESS,≤100,4
196448427590617,Parti de l'Istiqlal - حزب الاستقلال,Parti Istiqlal,≤100,1
107627395144123,الحكومة المغربية,الحكومة المغربية,≤100,2
391888397994631,Belpresse,BELPRESSE,≤100,1
110122358477613,TRT Afrika Français,These ads ran without a disclaimer,≤100,1
100132082391393,Houcine Nasrollah الحسين نصر الله,Lhoucine Nasrollah,≤100,7
117281538350746,حزب التجمع الوطني للأحرار -Rassemblement National des Indépendants -RNI,Rassemblement National des Indépendants,≤100,1
101970812076593,Madar 21 مدار,Madar 21 مدار,≤100,4
161637767281862,LE MATIN.ma,Groupe Le Matin,≤100,2
101078922404087,الناطق الرسمي باسم الحكومة المغربية,الناطق الرسمي باسم الحكومة المغربية,≤100,2
123393171111656,Mehdi Bensaid   المهدي بنسعيد,Mohammed Mehdi Bensaid,≤100,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
175590267993,Al Majalla,These ads ran without a disclaimer,≤100,1
104572698809103,Bladna 24,BLADNA24,≤100,1
106134512364395,MarocDebrief,MarocDebrief,≤100,1
108195018894973,مشروع الجمعية المغربية لحقوق الرجل والاب والطفل,These ads ran without a disclaimer,≤100,1
1689864031300048,Isaac Charia,ISAAC CHARIA,≤100,1
371953119858910,Abdellah Eid Nizar,Abdellah Eid,≤100,1
536001309821838,European Link Coalition,These ads ran without a disclaimer,≤100,1
110861658082667,Planet One,These ads ran without a disclaimer,≤100,1
342946849393157,الواضح 24,الجوهري محسن,≤100,1
102527662620109,Inside Out Centre for the Arts,These ads ran without a disclaimer,≤100,1
109729452397582,Dbl D Bar Ranch,These ads ran without a disclaimer,≤100,2
101749628198714,Promova,These ads ran without a disclaimer,≤100,2
1603385599892138,Aboalbis Show,These ads ran without a disclaimer,≤100,1
423609701387941,Peachbruh,These ads ran without a disclaimer,≤100,6
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,1
113494377640346,Silicon Valley Investclub,These ads ran without a disclaimer,≤100,1
100272095783585,Visit Heilongjiang,These ads ran without a disclaimer,≤100,1
105424968951147,Book5281-Reader,These ads ran without a disclaimer,≤100,1
105900552270698,Sofia Adara,These ads ran without a disclaimer,≤100,1
111445737300772,ELIT,These ads ran without a disclaimer,≤100,1
286094071469577,VINCI Energies,These ads ran without a disclaimer,≤100,1
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100,2
