Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
20468812735,LO,LO,9608,18
371106536283235,DAG OG TID,Dag og Tid AS,7177,5
135843375926,UNICEF Norge,UNICEF Norge,5629,7
573458549493165,Oslo kommune,Oslo kommune,1701,1
100682016119457,Universitetsplassen - UiO,Universitetet i Oslo,1649,3
10953652930,Høyre,Høyre,1367,23
132368899297,Framtiden i våre hender,Framtiden i våre hender,1284,12
234659001772,Arbeiderpartiet,Arbeiderpartiet,1257,4
132368899297,Framtiden i våre hender,Framtiden i Våre Hender,1237,10
2398568533531114,Velferdsmiks,NHO Geneo,1095,28
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1065,4
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,1027,1
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,1025,22
157929987567626,Oslo MDG,OSLO MILJØPARTIET DE GRØNNE,912,1
83499305740,Tekna – Teknisk-naturvitenskapelig forening,Tekna,888,3
126448980866214,Klassekampen,Klassekampen,854,1
198148715581,Vestfold og Telemark FrP,Vestfold og Telemark FrP,820,3
11526489541,Senterpartiet,Senterpartiet,615,1
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,541,3
108203984145752,Kruse Larsen,Kruse Larsen,505,2
92313603585,Amnesty International Norge region øst,Amnesty International Norge region øst,393,1
239677012734267,Fredrikstad Høyre,Fredrikstad Høyre,372,1
100722841311675,"Kristiansand Pensjonistparti - Barn, Familie og Pensjonist",Kristiansand Pensjonistparti,368,8
34448777123,Haugesund Venstre,Bjørn Gunnar Husby,351,2
201881833288298,Pårørendesenteret,Pårørendesenteret,348,40
119878348024795,ULOBA,Uloba - Independent Living Norge,300,23
291789484748906,Senter for hav og Arktis,Senter for hav og Arktis,290,1
249604098385716,Stortingsrepresentant Erlend Wiborg,Erlend Wiborg,279,1
1430303507191895,Stange FrP,Jan Cato Berg Emilsen,276,1
129925163706887,Oslo Dokumentarkino (The Oslo Documentary Cinema),Oslo Dokumentarkino,270,2
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,258,2
226417544192807,Tankesmien Agenda,Tankesmien Agenda,236,1
105939782037295,Altinget.no,Altinget AS,220,4
169468006414718,Litteraturhuset,Litteraturhuset,220,2
103057921635136,Folkets Parti Bergen,Foreningen FNB Bergen,211,2
38552663951,Morgenbladet,Morgenbladet,208,1
173437119340296,Akershus Arbeiderparti,Akershus Arbeiderparti,208,1
157191867679994,LO Nedre Romerike,Mohammed Manzoor Malik,199,2
536745556722065,Lillestrøm FrP,Lillestrøm FrP,182,1
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,180,16
63069821771,Naturviterne,Naturviterne - Fagforening med hjerte for bærekraft,166,1
120374971332864,Kagge Forlag,Kagge Forlag,165,1
102661254440027,Pårørendeaksjonen Moss - For en verdig alderdom,Pårørendeaksjonen Moss - For en verdig alderdom,159,2
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,144,4
237560553353971,Ordførar i Time - Andreas Vollsund,Andreas Vollsund,142,1
111322125898812,Filter Nyheter,Filter Nyheter,139,2
106000182295870,Bybanetunnel,Bybanetunnel,136,1
307525272933,Humanist forlag,Humanist forlag,125,2
