Page ID,Page name,Disclaimer,Amount spent (UYU),Number of ads in Library
105372794744976,Intendencia de Paysandú,Intendencia Departamental de Paysandú,3914,2
2229936167288652,Juan Sartori,Equipo Juan Sartori,2458,3
721629447857727,567 El Espacio,Sol Ines Pereyra Zunin,2034,4
308762172579887,Rodrigo Goñi Reyes,Maria Florencia Porro,595,5
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,443,3
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,260,4
984834781647717,Diputada Alexandra Inzaurralde,Alexandra Inzaurralde,193,1
339506493370193,Richard Sander,Richard Saul Sander Darín,165,2
107678274350407,Jhans Acosta,Jhans Christian Acosta Ledesma,≤100,1
131056630276715,Sociedad Uruguaya - Diario Digital,Sociedad Uruguaya - Diario Digital,≤100,1
1496397947313142,Edil Diego Guevara,Diego Enmanuel Guevara Crosi,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
1424003061235730,Asociación Autismo en Uruguay,Arlene Raquel Navarro Aguiar,≤100,1
1359136157453700,Bere Ramos,These ads ran without a disclaimer,≤100,6
103988995047541,Diputada Nancy Nuñez Soler,Nancy Estela del Pilar Nuñez Soler,≤100,1
2316138265096150,Marcelo.escritos,These ads ran without a disclaimer,≤100,1
896046427178402,O'Farrell S.R.L,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
105900552270698,Sofia Adara,These ads ran without a disclaimer,≤100,2
423609701387941,Peachbruh,These ads ran without a disclaimer,≤100,1
387287078528,Líder Moderno,These ads ran without a disclaimer,≤100,1
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100,1
182064165247111,Fronteira Criativa,These ads ran without a disclaimer,≤100,2
