Location name,Amount spent (SEK)
Blekinge County,5729
Dalarna County,12206
Gotland County,2745
Gävleborg County,12519
Halland County,12793
Jämtland County,6204
Jönköping County,14257
Kalmar County,9047
Kronoberg County,7192
Norrbotten County,10465
Skåne County,56333
Stockholm County,111055
Södermanland County,13343
Unknown,≤100
Uppsala County,18187
Värmland County,10504
Västerbotten County,11871
Västernorrland County,10070
Västmanland County,10754
Västra Götaland County,73469
Örebro County,11753
Östergötland County,17513
