Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
265843867173714,La Revista,La Revista,10930,3
102084562479533,Digital506,Digital506,9849,6
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,2834,1
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,2633,1
1697191247176676,Diego Miranda Méndez,Diego Miranda Méndez,1979,1
2058053604439707,Stiebel Eltron América Latina,These ads ran without a disclaimer,1626,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1331,2
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,1084,1
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
282609205261913,Soy Rico,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,1
72750481109,Structuralia,These ads ran without a disclaimer,≤100,1
63306224439,Trip.com,These ads ran without a disclaimer,≤100,1
1484031468591827,nexos+1,These ads ran without a disclaimer,≤100,1
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,≤100,1
150793518281117,Covestro,These ads ran without a disclaimer,≤100,1
975350039244736,Panorama Acuícola Magazine,These ads ran without a disclaimer,≤100,1
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100,1
103101872615379,AKK03,These ads ran without a disclaimer,≤100,1
106765298897445,Mineração Inteligente,These ads ran without a disclaimer,≤100,1
