Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
104251724737393,בונות אלטרנטיבה,בונות אלטרנטיבה,5179,7
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,4907,5
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,2921,8
199381213757428,שי קינן - shai keinan,שי קינן - shai keinan,2014,7
121022057648728,"עו""ד דורון ברזילי - לראשות לשכת עורכי הדין",דורון ברזילי,1595,29
870129976377104,הנהגת ההורים הארצית,דרור יהב,1246,1
178433145502975,Avigdor Liberman - אביגדור ליברמן,Avigdor Liberman - אביגדור ליברמן,1211,13
141721971504,Histadrut - ההסתדרות החדשה,Ricki Bar,1158,8
107217383988190,מגזין אפוק,Epoch Magazine,1012,10
127757258676,קשת 12,These ads ran without a disclaimer,1000,1
107476928307805,אשדודי - יש לנו חדשות בשבילך,אשדודי - יש לנו חדשות בשבילך,907,2
153664638161877,מתן דיל- Matan Dil,מתן דיל- Matan Dil,901,2
114429471587565,"יפעת עובדיה לוסקי - יו""ר קק""ל",קרן קימת לישראל,897,2
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",829,17
204780362875106,מקור ראשון,מקור ראשון,744,82
119995701391029,בית בן-גוריון בתל אביב,בית בן גוריון,684,5
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",630,34
361464970647064,זהר בלום,זהר בלום,629,2
1678753882355496,איגוד העובדות והעובדים הסוציאליים,איגוד העובדות והעובדים הסוציאליים,608,3
117177111377152,Шломи Лахьяни,שלומי לחיאני,587,4
162089177185799,התאחדות התעשיינים בישראל,התאחדות התעשיינים בישראל,574,3
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,559,41
33942762466,Shalom Hartman Institute מכון שלום הרטמן,Shalom Hartman Institute - מכון שלום הרטמן,557,11
