Page ID,Page name,Disclaimer,Amount spent (AED),Number of ads in Library
102995219460526,Key Area Shop,These ads ran without a disclaimer,2431,1
112185355468315,Rotana,These ads ran without a disclaimer,≤100,1
2055792651317396,ദുബായ് വാർത്ത - Dubai Vartha,Asiavision,≤100,1
122598727499710,Konsultan Keuangan,These ads ran without a disclaimer,≤100,1
368757963825913,WasteFuel,These ads ran without a disclaimer,≤100,2
104214185642689,Burjeel Holdings,These ads ran without a disclaimer,≤100,1
295207740982124,Uranus Education الدراسة في تركيا,These ads ran without a disclaimer,≤100,1
106456782410206,altayarteam,These ads ran without a disclaimer,≤100,1
103904618020952,Kikumoto Immigration Firm,These ads ran without a disclaimer,≤100,1
110116950604610,governor_of_africa,These ads ran without a disclaimer,≤100,1
108148958352704,Travelers Spot,These ads ran without a disclaimer,≤100,2
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
1990880717882519,The China Current,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
123698491019029,Lombard Odier Group,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,11
105336055090792,Luisa Chimá,These ads ran without a disclaimer,≤100,2
111967013731903,Goldwind,These ads ran without a disclaimer,≤100,2
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,1
1608388002747239,Huawei FusionSolar,These ads ran without a disclaimer,≤100,1
347265340270,Architecture Competitions,These ads ran without a disclaimer,≤100,1
208943275801211,Heritage Auctions Coins,These ads ran without a disclaimer,≤100,1
