Location name,Amount spent (EUR)
Alsace,1243
Aquitaine,2567
Auvergne,783
Basse-Normandie,943
Bourgogne,1011
Bretagne,1954
Centre,1521
Champagne-Ardenne,884
Corse,334
Franche-Comté,659
French Guiana,≤100
Guadeloupe,≤100
Haute-Normandie,1217
Languedoc-Roussillon,2478
Limousin,441
Lorraine,1856
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,2050
New Caledonia,≤100
Nord-Pas-de-Calais,2755
Pays de la Loire,2045
Picardie,1325
Poitou-Charentes,1171
Provence-Alpes-Côte d'Azur,4795
Reunion Island,≤100
Rhône-Alpes,4131
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,8032
