Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,457,16
163449818290,KDH,KDH,434,14
309315359104222,Milan Majerský,KDH,429,13
600235073447674,Sme rodina,Sme rodina,262,27
403027089864701,Peter Pellegrini,HLAS - sociálna demokracia,255,22
102200698451761,Gyimesi György,Gyimesi György,193,4
281189505375741,Simon Zsolt,Simon Zsolt,183,2
122074554119,EU Social,"Európska Komisia - Zamestnanosť, sociálne záležitosti a začlenenie",181,7
113270933763580,ODS - OBČIANSKI DEMOKRATI SLOVENSKA,ODS - Občianski demokrati Slovenska,154,16
186953775142661,ESET,"ESET, spol. s r.o.",106,5
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,≤100,6
482492355256037,"Ministerstvo práce, sociálnych vecí a rodiny Slovenskej republiky","Ministerstvo práce, sociálnych vecí a rodiny Slovenskej republiky",≤100,6
825548020851519,To je nápad,"Dobré médiá, s.r.o.",≤100,23
522186401540084,Magyar Fórum - Maďarské fórum,Magyar Fórum - Maďarské fórum,≤100,4
732167026967322,Robert Fico,Robert Fico,≤100,4
105131888394144,Team Bratislava,Team BA,≤100,4
212517858839474,ZSE,"Západoslovenská energetika, a.s.",≤100,3
184760561603680,Richard Sulik,Sloboda a Solidarita,≤100,1
109669047774695,Brainee.sk,Mafra Slovakia a.s.,≤100,27
53247283454,Hospodárske noviny,Mafra Slovakia a.s.,≤100,10
1198279137015143,Zmudri.sk,Zmudri.sk,≤100,2
594790970995799,Miriam Lexmann,Miriam Lexmann,≤100,2
1501859650125625,Vladimír Bilčík,Vladimír Bilčík,≤100,17
608493236475568,Pavol Slota • DOMOV - Národná strana,DOMOV národná strana,≤100,2
105321095696057,Modrí,Modrí,≤100,8
2308492039426614,Úrad vlády Slovenskej republiky,Úrad vlády Slovenskej republiky,≤100,2
156395481064391,Michal Šipoš,Michal Šipoš,≤100,2
557862947737785,Progresívne Slovensko,Progresívne Slovensko,≤100,3
1009998019021765,Forró Krisztián,"Szövetség – Magyarok, nemzetiségek, régiók. Aliancia – Maďari, národnosti, regióny.",≤100,6
100612851457308,Matúš Šutaj Eštok,HLAS - sociálna demokracia,≤100,19
147166706140048,Martin Hojsík,Martin Hojsík,≤100,4
178362315106,European Parliament,European Parliament,≤100,5
105947861630687,DEMDIS,DemDis,≤100,3
1552624815015371,SPP - distribúcia,SPP - distribúcia,≤100,3
2242541876069521,Medblog,Medblog,≤100,1
283025969119,Odpady-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,≤100,36
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,≤100,7
178878375475789,Energie-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,≤100,49
