Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
1505940076395094,Alvaro Noboa,Alvaro Noboa,2992,1
384252628801937,Otto Sonnenholzner,Otto Sonnenholzner,191,2
358358521018882,Fernando Villavicencio,Fernando Villavicencio,≤100,11
476850388992423,Tecnológico Universitario Rumiñahui,Tecnológico Universitario Rumiñahui,≤100,1
689046988128285,Educación Continua UDLA,Universidad de las Américas,≤100,4
374633679234633,Ministerio Educación Ecuador,Live Marketing Asociados CIA LTDA,≤100,5
108657847619569,Goberna Ecuador,Goberna Ecuador,≤100,6
601440219879486,YASunidos,La Incre S.A.,≤100,2
562578250450969,Prefectura de Pichincha,Prefectura de Pichincha,≤100,1
2221570604786246,Primicias,Primicias,≤100,5
1009622892568456,Formando Emprendedores,These ads ran without a disclaimer,≤100,2
112128961403701,Ronal Moreno,Ronal Moreno,≤100,2
107526082366348,Jaime Guevara,These ads ran without a disclaimer,≤100,1
10150126020155002,PUCE_Ecuador,PD Agencia,≤100,3
181187448591274,Abacom,These ads ran without a disclaimer,≤100,1
101056676141616,Asesoría Política - Goberna Ecuador,Goberna Ecuador S.A.S,≤100,14
101576971659055,Carlos Vera Es Manabí,Carlos Vera Es Manabí,≤100,5
100874099488431,Todo Noticias,Todo Noticias,≤100,3
101311945049812,Juan Arias,Amigos de Juan Arias,≤100,2
832466220171790,Aquí Sucumbíos,Aquí Sucumbíos,≤100,1
315234705329364,Bolivar Armijos V.,Bolivar Armijos V.,≤100,1
100568956044653,Unidad Educativa PCEI Charles Darwin,These ads ran without a disclaimer,≤100,1
195488207272178,Ciudadanía y Desarrollo,Ciudadanía y Desarrollo,≤100,2
1428232184108323,Escuela Formativa de Fútbol XMC,These ads ran without a disclaimer,≤100,1
1816016768453282,Alcaldía de Marcelino Maridueña,Alcaldía de Marcelino Maridueña,≤100,2
141187369261399,Miraentertainment,Miraentertainment,≤100,1
104792105924236,Enfoke tv,Enfoke tv,≤100,2
155775184583213,Doctora María Psiquiatra,Doctora María Psiquiatra,≤100,1
104370998649389,Marlon Vera Delgado,Marlon Vera Delgado,≤100,1
500596560025556,RC5SantaElena,RC5SantaElena,≤100,1
283332998504128,EDES Business School,These ads ran without a disclaimer,≤100,1
113480504938094,Fun facts,These ads ran without a disclaimer,≤100,1
135073411731685,BBBgamers LiveShow,These ads ran without a disclaimer,≤100,1
129803967052432,Consejo Nacional Electoral del Ecuador,Consejo Nacional Electoral del Ecuador,≤100,11
100853138500765,Mashkay,These ads ran without a disclaimer,≤100,1
1428408544046887,Flacso Uruguay,These ads ran without a disclaimer,≤100,1
108202298520665,LaDigital.co,These ads ran without a disclaimer,≤100,1
322865159833,RCD Espanyol de Barcelona,These ads ran without a disclaimer,≤100,5
409388396198516,Freeda ES,These ads ran without a disclaimer,≤100,1
2261413827506055,Diálogo Político,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,1
