Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
114653269155,Peoples Progressive Party/Civic,Peoples Progressive Party/Civic,224,5
1204467483041050,The Citizenship Initiative,The Citizenship Initiative,≤100,3
113831256838984,Guyana Council Of Organisations For Persons With Disabilities,Guyana Council Of Organisations For Persons With Disabilities,≤100,13
111492314870800,IFES Guyana,IFES Guyana,≤100,1
106074334485015,Village Voice News,These ads ran without a disclaimer,≤100,1
681614015247190,Caribbean National Weekly,These ads ran without a disclaimer,≤100,1
244196442342820,Muslim Pro,These ads ran without a disclaimer,≤100,1
111679394767549,المشروع القومي لمشتقات البلازما,These ads ran without a disclaimer,≤100,1
322865159833,RCD Espanyol de Barcelona,These ads ran without a disclaimer,≤100,5
409388396198516,Freeda ES,These ads ran without a disclaimer,≤100,1
