Page ID,Page name,Disclaimer,Amount spent (MXN),Number of ads in Library
101435299357501,Ahora #EsAdán,Con Adan Si,53222,47
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,52471,19
123856230700096,Toyota Motor México,TOYOTA MOTOR DE MEXICO,38181,3
113982881676646,Poder Morenx,Poder Morenx,29482,64
108737448471399,Altavoz Web,Altavoz Web,27653,9
923633637651202,Morena Sí,Morena Sí,21733,153
263192040447826,Agua y Drenaje de Monterrey,"Servicios de Agua y Drenaje de Monterrey, I.P.D.",18834,8
123842270960929,Walmart de México y Centroamérica,Nueva Walmart de México SRL de CV,18371,5
1520610478183053,Badabun,Badabun,18035,6
104518395995904,La Transformación Sigue,La Transformación Sigue,16826,11
110056698770508,Vamos con Sheinbaum,Vamos con Sheinbaum,14735,11
449095701815347,Salvador Zamora,Salvador Zamora,14335,17
645731535452116,FactoMétrica,FactoMétrica,13132,31
114871741627741,Cambio al Guinda,Cambio al Guinda,12909,30
186073704903313,México elige,México Elige,12843,48
116546948099512,Times Mujer Mx,Times Mujer Mx,12840,64
101267031439463,Voz de las Empresas,Consejo de la Comunicación,12799,18
121554624276044,Claudia Va,Claudia Va,11848,11
183751562214729,David Cortés,David Cortes,11485,4
115866258181287,Haremos Historia,Haremos Historia,11202,9
102265631123832,Gobierno de Puebla,Gobierno de Puebla,10363,8
120544204635995,Gobierno de Baja California,Gobierno de Baja California,10148,8
107793448707132,The Guardian Mexico,The Guardian Mexico,10035,3
1613868898897076,Waldo Fernández González,Waldo Fernández González,9538,23
113432345067152,Mujeres por la Transformación de Oaxaca,Mujeres por la Transformación de Oaxaca,9451,17
109634395756375,Save the Children México,Save the Children México,9006,18
56713285274,Greenpeace México,Greenpeace México,8942,64
110320423807974,Latinus,Latinus,8926,1
842599102419449,Gobierno del Estado de Campeche,Gobierno del Estado de Campeche,7877,34
146709175702544,Gobierno de Quintana Roo,Gobierno de Quintana Roo,7756,13
837607596288104,Eliseo Fernández Montufar,Community Manager,7282,6
1583631301915573,Liborio Vidal,Liborio Vidal Aguilar,7235,35
242334769225146,Sergio Salomón Céspedes Peregrina,Sergio Salomón Céspedes Peregrina,6869,9
259294300089,Gobierno de Zapopan,Gobierno de Zapopan,6803,9
108819392526809,Partido Acción Nacional,Partido Acción Nacional,6667,3
104680124489636,Demoscopia Digital,Demoscopia Digital,6389,84
119585627793846,Artillería Política,Artillería Política,5993,5
162949857103721,Gobierno Colima,Gobierno Colima,5633,24
2091732304477564,Senadores Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en el Senado de la República,5541,2
102551913153712,Ricardo Monreal A.,Ricardo Monreal Ávila,5509,8
161020766408,Gobierno del Estado de Querétaro,Gobierno del Estado de Querétaro,5461,13
469246976533189,Santiago Creel,SantiagoCreelM,5453,8
100288235956814,Encuestas Valor,Encuestas Valor,5426,20
273305282567,Gobierno de Jalisco,Gobierno de Jalisco,5372,18
589484077738887,Jorge Álvarez Máynez,Estudio Bocadillo,5363,2
113204251796086,Visión México Noticias,Visión México Noticias,5222,5
34767149008,Tecnológico de Monterrey,Tecnológico de Monterrey,5154,7
108763745567667,Encuestas 2024 MX,Encuestas 2024 MX,5006,4
104035435916689,Reportero en Acción,Reportero en Acción,4777,122
285058928236909,Mauricio Vila,Mauricio Vila,4594,21
110450098729831,Noticias Cuatro T Norte,Noticias Cuatro T,4540,4
109882688807032,Pulso 360,Pulso 360,4442,4
111094778258609,Chema Martínez,Chema Martínez,4401,13
48966795116,Amnistía Internacional México,Amnistía Internacional México,4350,23
126053684120856,Gobierno del Estado de Oaxaca,Gobierno del Estado de Oaxaca,4246,32
215836968456734,Alfonso Martínez Alcázar,Alfonso Martínez,4240,4
101824639600985,Noticias Cuatro T Sur,Noticias Cuatro T,3977,6
101404116150740,La Verdad Maya,La Verdad Maya,3971,1
1297159123630144,Ulises Ruiz Ortiz,Ulises Ernesto Ruiz Ortiz,3923,1
109474928114443,Actívate,José Ángel Soubervielle,3871,7
110550398683823,Pasión por comunicar,Maximizando Ideas,3831,134
107003701683545,Migra Noticias,Migra Noticias,3758,90
169862406356,Mercedes-Benz México,These ads ran without a disclaimer,3749,1
269877666449337,Movimiento Ciudadano Jalisco,Movimiento Ciudadano,3712,4
1044005875633479,Manuel Guerra Cavazos,Manuel Guerra Cavazos,3610,3
178625645626125,Movimiento Ciudadano Nuevo León,Movimiento Ciudadano NL,3601,12
1491263724459803,Fuerza Noticias,Jesus Gonzalez Lozano,3569,2
156133818401658,Chekomanía,Jesus Gonzalez Lozano,3533,1
254852601222832,Cemex México,CEMEX México,3517,20
106832192386081,Sigue la Tendencia,Sigue la Tendencia,3469,93
