Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
266563730155332,Juan Diego Gomez Jimenez,THE HACKERS COMPANY,2302608,24
1059459884138781,Mauricio Tobón Franco.,Minuto 30 S.A.S.,1874152,15
108379099286148,Alcaldía Mayor de Bogotá,Alcaldía Mayor de Bogotá,1376169,45
105598124675352,General Juvenal Díaz,General Juvenal Díaz,1337196,3
1115184931884092,Albert Corredor,Albert Corredor,915943,2
308580499200723,Alcaldía de Medellín,Alcaldia de Medellìn,862169,38
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,842490,17
1719725724954043,Rodrigo Rojas Lara,Rodrigo Rojas Lara,754838,2
108827338788235,Hernando Morales,Por La Defensa De Cali,634687,8
141361183156268,Juan Carlos Upegui,Juan Carlos Upegui,587771,14
251292808253299,Canadian College,Canadian College,554939,17
370492339735164,Centro Democrático - Comunidad Oficial,Centro Democrático - Comunidad Oficial,534904,1
256488875025665,Juan Bocanegra,Juan Bocanegra,527789,5
195575853964886,Rodrigo Lara Restrepo,Movimiento Ciudadano Lara por Bogotá,519290,15
497475647076975,Fabian Oviedo,Fabian Oviedo,490357,34
53177129367,Dilian Francisca Toro Torres,Dilian Francisca Toro,452245,24
906104439492802,Daniel Duque Velásquez.,Daniel Duque Velásquez.,421526,4
185965224778568,Diario Occidente,Nuevo Diario Occidente,412976,5
1683544555207079,Rafael Martínez,AT,353512,2
61298420594,Eugenio Prieto Soto,Eugenio Prieto Soto,331906,7
175286072898201,Braulio Espinosa Márquez,Braulio Espinosa,308268,2
224169580962812,Alcaldía de Bello,Alcaldía de Bello,285320,3
1589652347763879,Aquileo Medina A,Aquileo Medina A,270735,2
332955063434426,Jaime Cuartas,Jaime Cuartas,262650,4
103754197881668,Esteban Restrepo,Esteban Restrepo,259254,2
503621983303342,Oscar Mauricio Toro,Oscar Mauricio Toro,230538,42
682038131955732,Elizabeth Molina Campo,Elizabeth Molina Campo,209280,2
191459311042712,Jaime Andrés,Jaime Andrés,208641,13
2156874387878167,Yilber Leandro Saavedra,Yilber Leandro Saavedra,196640,7
336711793710254,Metro de Bogotá,Metro de Bogotá,184686,1
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,177659,5
113234113483957,Mauricio Muñoz,Mauricio Muñoz,169325,2
131753023639902,Aldemar Alfaro,Aldemar Alfaro Rivero,167608,2
101897976168381,Vamos a crecer,Vamos a crecer,166232,2
1735785796740603,José Manuel Sandoval,José Manuel Sandoval,164262,15
101642839569704,Javier Marulanda,Dr Javier Marulanda,163370,5
2158318667815480,Nancy Henao Ruiz,Nancy Concejal Verde,160753,12
179668218725736,Lina García Gañan,Lina Garcia Gañan,158602,8
151237191625066,Henry Gutiérrez Angel,Henry Gutiérrez Angel,154993,10
1379991518962469,Fernando Rivera Saraza,Fernando Rivera Saraza,153600,7
236115666578709,INDER Alcaldía de Medellín,INDER Alcaldía de Medellín,143803,4
1259770774053121,Politécnico COHAN - Medellín,Politécnico COHAN - Medellín,143230,7
108233262091178,David Islem R,David Islem R,141486,2
102143071616787,Goberna Colombia,Goberna,129830,10
112155252163421,Sebastián López V.,Sebastián López V.,126864,2
100351841692214,Coronel Jorge Gallego,Coronel Jorge Gallego,121447,6
101391859627743,Colombia sin miedo,Colombia sin miedo,120042,34
162949777243451,Andrés Julián,Andrés Julián Rendon,118090,3
190205874430928,Hacienda Bogotá,Secretaria Distrital de Hacienda,117405,14
1896813010334035,Secretaría de Educación de Barranquilla,Secretaría de Educación de Barranquilla,117143,4
1758963097672437,Komofue - Noticias,AT,114851,1
167790587191542,La Perla Viral,AT,111270,1
1165655170260613,Diana Rojas,Diana Rojas Concejal de Cali,104059,3
591349167641119,Alcaldía Los Patios,Alcaldía Los Patios,103947,1
