Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
1272430732865665,Vullnet Ruzhdi Sinaj,Vullnet Ruzhdi Sinaj,≤100,1
109553513964551,All Green Centre,All Green Centre,≤100,1
444048512310948,CNA.al,Cna Lajme,≤100,1
139666286225597,Euranet Plus - Official,These ads ran without a disclaimer,≤100,1
46030324522,Arian Galdini,These ads ran without a disclaimer,≤100,1
207268042645317,Macquarie Group,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,1
103765239208275,yusufhanugurlu_yasasin,These ads ran without a disclaimer,≤100,1
1343771369029582,Happy Mammoth,These ads ran without a disclaimer,≤100,1
117105021304811,Bigggie,These ads ran without a disclaimer,≤100,1
102209136205175,Globe2day,These ads ran without a disclaimer,≤100,1
104474278112457,Thiago Albuquerque,These ads ran without a disclaimer,≤100,1
445001358920989,Kosovo Architecture Festival,These ads ran without a disclaimer,≤100,1
880611255347800,Phoenix TV 鳳凰衛視,These ads ran without a disclaimer,≤100,1
435123539909337,Qendra Rinore Sebastia,These ads ran without a disclaimer,≤100,1
106170661628518,香港V,These ads ran without a disclaimer,≤100,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100,2
1445973742181633,FIBA Foundation,These ads ran without a disclaimer,≤100,1
110772703722579,Christoff Roy,These ads ran without a disclaimer,≤100,1
