Location name,Amount spent (IDR)
Aceh,1587755
Bali,2302347
Bangka–Belitung Islands,470895
Banten,4142839
Bengkulu,803347
Central Java,13347017
Central Kalimantan,745304
Central Sulawesi,1508562
East Java,13158096
East Kalimantan,1639327
East Nusa Tenggara,1844974
Gorontalo,1083567
Jakarta,10416974
Jambi,1437211
Lampung,3586043
Maluku,836108
North Kalimantan,423062
North Maluku,557333
North Sulawesi,1950185
North Sumatra,4831878
Papua (province),751254
Riau,1971598
Riau Islands Province,816170
South Kalimantan,1076436
South Sulawesi,3903497
South Sumatra,3741026
Southeast Sulawesi,1263073
Special Region of Yogyakarta,1314124
Unknown,20306
West Java,16335291
West Kalimantan,1741607
West Nusa Tenggara,1554948
West Papua,409524
West Sulawesi,547711
West Sumatra,1633320
