Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,125
Apurímac Region,≤100
Arequipa Region,174
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,368
Cusco Region,124
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,131
Junín Region,≤100
La Libertad Region,284
Lambayeque Region,101
Lima Region,6355
Loreto Region,270
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,168
Puno Region,121
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
