Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
178362315106,European Parliament,European Parliament,5256,18
163943696987223,Ziarul Puterea,Ziarul Puterea,2359,49
1058116737612843,USR,Uniunea Salvați România,2004,6
122074554119,EU Social,EU Social,1381,6
278117815576023,EU Justice and Consumers,EU Justice and Consumers,1111,14
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,1067,13
138896782840976,Biroul Parlamentului European în România,Biroul Parlamentului European în România,669,5
108295090637741,ASAP România,Fundatia The Institute,521,5
114319753592403,AFACERI.news,Trend Communication,473,9
102601499822802,RMDSZ,RMDSZ,388,7
686190454826244,Declic,Declic,355,65
557284874779877,Mihai Coteț,Mihai Cotet,308,3
102743169253473,Reciclăm în România,Reciclăm în România,253,32
149371012371397,Newsweek Romania,Newsweek Romania,224,4
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,223,2
876529995741782,Universitatea „Ovidius” din Constanța,Universitatea „Ovidius” din Constanța,222,24
2443020582586584,Romania Eficienta,Romania Eficienta,222,23
988607871174850,Grupul de Investigatii Politice,Grupul de Investigatii Politice,217,1
177708185581280,Erdélyi Magyar Szövetség,Erdélyi Magyar Szövetség,209,6
182546041796641,Costel Alexe,Costel Alexe,208,1
731035500293728,Siegfried Muresan,Siegfried Muresan,198,1
873737539404529,USR Timiș,USR Timiș,196,1
145716295552939,Lucian Bode,Partidul Național Liberal,194,1
321890494859228,Vlad Gheorghe,Vlad Gheorghe,192,7
435614816576664,Claudiu Maior,Claudiu Maior,169,2
116657837994402,Partidul Câmpina Curată,Partidul Câmpina Curată,164,17
360828814115641,Asociatia Slujire Crestina,Asociatia Slujire Crestina,161,1
577713115733948,Clubul Profesorilor din Romania,These ads ran without a disclaimer,155,4
288705370822,Tusványos,Tusványos,149,10
101340741758468,Radu Pescar,Radu Pescar,146,4
1145522045624751,Filip Havarneanu,Filip Havarneanu,141,3
113009310432947,Ilie Cheșa,Ilie Cheșa,134,1
107029625474765,Nicușor Halici,PSD Vrancea,133,3
697451833786949,Mihai Polițeanu,Mihai Polițeanu,126,5
1723480164579572,USR Brașov,USR Brașov,120,1
827831393930594,Alin Ignat,Alin Ignat,119,1
1559885467641191,Râul Alb,Râul Alb,112,6
1780528075550888,USR Vrancea,Uniunea Salvați România - USR,111,1
2212856535602171,George Simion,George Simion,111,25
338465666278028,Cristian Niculescu Țâgârlaș,PNL Maramureş,110,3
104509194858748,Alin Apostol,Alin Apostol,109,1
448770028550721,Tecuceni,Tecuceni,106,1
789998757706140,PNL Brăila,Partidul National Liberal Braila,101,1
103608188903509,Cosmin Petrescu,PNL Arges,≤100,1
939093039450192,PS News,PS News,≤100,2
109445158308624,De fapt,DeFapt.ro,≤100,2
104369154745548,Diana Stoica,Diana Stoica,≤100,4
100174096112403,Presa Nemțeană,Presa Nemțeană,≤100,1
971907786352729,USR Cluj,USR Cluj,≤100,1
