Page ID,Page name,Disclaimer,Amount spent (PHP),Number of ads in Library
325780477966356,Geo 24/7,Energy Development Corporation,8583,31
265779500134955,SM Supermalls,SM Supermalls,7141,9
1485006188181879,WES Gatchalian,WES Gatchalian,7092,8
547821942058909,Pilipinas Today,WFPH,7089,53
100770729339080,Cong. Wilbert T. Lee,Cong. Wilbert T. Lee,6071,27
100350202335117,Benhur Abalos,Supporters and Friends of Benhur Abalos,5853,3
185633641527060,Toby Tiangco,Toby Tiangco,5699,4
335569904541261,Samahan ng mga Traydor at Lokohan,Samahan ng mga Traydor at Lokohan,4958,1
223618785182273,Pilipinas,WFPH,3957,24
216728172211793,GO Na Tayo,GO Na Tayo,2762,1
197727873578501,Senator Migz Zubiri,Senator Migz Zubiri,2500,1
100170811672425,Pilipinas Today Kyusi,WFPH,2344,13
75665129515,Go Negosyo,Go Negosyo,2327,2
269175894020945,Pilipinas Today,WFPH,2068,12
351879361521039,Cong. Nonoy Libanan,Cong. Nonoy Libanan,1904,4
263066651005055,"Ramon Bong Revilla, Jr.","Ramon Bong Revilla, Jr.",1847,3
701517253228758,DOSTv,DOSTv,1663,4
374004705980904,Philippine Business for Education,Philippine Business for Education,1648,5
118263363420286,Pilipinas Today Ilocos,WFPH,1550,13
162414077101948,JV Ejercito,"JV Para sa Bayan Movement, Inc.",1510,1
113192036820162,Prof. Soc Anthony del Rosario,We Care Incorporated,1442,2
629488444347803,Mayor Allan De Leon,Mayor Allan De Leon,1424,5
121096004646927,"Pablo John ""PJ"" Garcia",Friends of PJ Garcia,1407,6
248113532485940,Alexie B. Tutor,Alexie B. Tutor,1368,3
494887807297979,Cocolife,Cocolife,1365,2
315452865504416,ChildFund Philippines,ChildFund Philippines,1345,2
100305568984268,EdukNaman,Philippine Business for Education Inc.,1300,4
558694637671776,Congressman  Pantaleon Alvarez,Congressman  Pantaleon Alvarez,1285,2
121843141182573,Ayala Corporation,Ayala Corporation,1237,1
102965912000814,Congressman Hori Horibata,Congressman Hori Horibata,1203,1
495629064258114,Lolita Karen Javier,Lolita Karen Javier,1118,2
100562967966954,Filipinas Radyo AM,WFPH,1103,14
176725369945441,Pilipinas Today,The World Tonight,1101,8
225822810955433,Bangsamoro News,Bangsamoro News,1089,1
1922749344643532,The World Tonight,The World Tonight,1033,8
156752721080952,Sonny Angara,Sonny Angara,998,2
247331620535579,Mike Defensor,The Mike Defensor Organization,949,3
555503991321280,Geraldine Roman,Sulong Pilipinas,948,2
257830240980106,Ronnie Dadivas,Roxas City United,924,6
105604828846674,Rose Lin,Friends of Rose Lin,892,5
126919387470670,Rufus B. Rodriguez,Rufus B. Rodriguez,887,6
101178932348592,Office of the Municipal Mayor - Atty. Philip A. Dacayo,Office of the Municipal Mayor - Atty. Philip A. Dacayo,855,5
438159769566830,EDC BINHI,EDC BINHI,832,3
1553973434658376,Filipino Community,Filipino Community,819,2
705660422953865,About Metro Pacific,WFPH,763,7
185986004827409,UNFPA Philippines,PLCPD,743,6
103206424893248,Davao Consumer Movement,Davao Consumer Movement,698,3
404729389612751,"Teodorico ""Nonong"" T Haresco, Jr","Teodorico ""Nonong"" T Haresco, Jr",695,6
505887912898325,Positive Energy,Energy Development Corporation,684,3
1759941490758280,Jerry Treñas,Jerry Treñas,673,11
104988244674974,Mobility Awards,The Climate Reality Project Philippines,626,6
102550901310332,Pilipinas Visayas,WFPH,624,6
228700014146287,Filipinas Bisaya,Filipinas Bisaya,622,6
1332938170076882,Tatak QC,Polsure,600,2
102886345339673,Ben Patron,Ben Patron,585,1
105929115643626,Caroline Tanchay,Caroline Tanchay,564,8
774149009339209,The Climate Reality Project Philippines,The Climate Reality Project Philippines,563,7
389309271851098,Pinoy Builders,"PurpleBug, Inc.",544,6
1452648134951782,Local Government Unit of Solano,Local Government Unit of Solano,531,3
146429305391505,Abante News Online,Abante News Online,527,1
111324628476603,REact PH: Choose Renewables,REact PH: Choose Renewables,509,2
407604493105131,"PBA: Politika, Basketbol, at Artista","PBA: Politika, Basketbol, at Artista",500,4
112952897079549,Energy Development Corporation,Energy Development Corporation,473,5
1512452085732585,Stratbase ADR Institute,Stratbase ADR Institute,472,4
537843086665379,City Inquirer,City Inquirer,466,3
388689438381348,Mike Defensor,The Mike Defensor Organization,463,3
150330215080785,The Honors Tutorial Center,These ads ran without a disclaimer,463,1
1030706640379655,Pilipinas: Coal Free by 2030,Coal Free Philippines,455,3
111694798393398,Binky-Boboy “BiBo” Tupas,Binky-Boboy “BiBo” Tupas,386,2
100877355420271,One to Tree,One to Tree,379,1
109867628173478,Ronin Leviste,Ronin Leviste,363,6
114540208900132,Erico Aris Aumentado,Erico Aris Aumentado,363,1
112512037866969,BM Ric Ric Dy Olegario,BM Ric Ric Dy Olegario,361,1
222187917795664,Social Watch Philippines,Social Watch Philippines,358,2
2147575852160385,Congresswoman Ann Matibag,Congresswoman Ann Matibag,357,2
102327208446392,FACTS,FACTS,339,1
100155158432600,The Health Center PH,The Best Healthctr Hub Ph,332,2
1840292579606063,Jam Jam Baronda,Jam Jam Baronda,329,3
109322002065194,EKIS,EKIS,319,2
145265112840190,Kasama Ka Sa Pag-Unlad,Polsure,311,2
186667502068528,Larry De Costa,WFPH,310,3
154386154617,WWF-Philippines,WWF-Philippines,309,2
332536503771530,Vice Governor Karen Agapay,Vice Governor Karen Agapay,306,1
594546817629223,Negosyo QC,Polsure,305,1
882433785480661,"Adrian Jay ""AJ"" Advincula","Adrian Jay ""AJ"" Advincula",302,2
100668628818013,Bim Ignacio,Bim Ignacio,301,1
102203275921536,Cong. JC Abalos,Cong. JC Abalos,301,1
102820774791720,Congressman Marvin Rillo,Congressman Marvin Rillo,292,1
1779870368752390,May JOY sa QC,Polsure,287,1
110829087227170,QC Waves Swim Club Inc.,QC WAVES SWIM CLUB INC,283,1
100461849486706,Fred Pascual,Department of Trade and Industry,283,1
107525411171131,Cong. Gabby Bordado,Gabby Bordado,266,1
138279376537685,Bebot Rodriguez,Bebot Rodriguez,251,3
242562552438872,DOST-STARBOOKS,DOST-STARBOOKS,247,3
234749586876960,Tyron Uy,Team Walang Iwanan,234,3
1380167115635985,LEDS Clothing,LEDS Clothing,229,3
333701057319933,MAYOR RAJIV ENAD,Friends of Mayor Rajiv Enad,208,2
100805324763895,Provincial Government of Bohol,Provincial Government of Bohol,207,1
106066225014933,BOKAL Dindo V. Dysico,BOKAL Dindo V. Dysico,203,2
104894502421974,PH Biz Forum,Message Doctor PH Company,201,3
107323325604626,Team ETAW Caravana,Team ETAW Caravana,200,3
1669303526443380,Trendsuertres Customized Promotional Items Baller Wrist Band Keychains etc.,Trendsuertres Customized Promotional Items Baller Wrist Band Keychains etc.,200,1
166107624078770,Camanava News,Camanava News,200,2
102907729290658,Pilipinas Kong Mahal,Message Doctor PH Company,198,3
126632405951309,Rambo Olegario,Rambo Olegario,194,1
2135191683189118,Councilor Queenie Belmonte,Councilor Queenie Belmonte,193,1
103485942191411,Juan Bulletin,Polsure,183,1
1452705468084081,Show Graphics Design,These ads ran without a disclaimer,183,1
192381083777,Hyundai Worldwide,These ads ran without a disclaimer,181,1
105969951219886,Sibika.ph,Philippine Business for Education Inc.,172,1
308668033138598,"Vice Mayor Angelito ""Totie"" Lazaro Jr.","Vice Mayor Angelito ""Totie"" Lazaro Jr.",168,2
111113447867154,The Daily Dose,These ads ran without a disclaimer,166,1
107029245455249,Law Ebooks PH,These ads ran without a disclaimer,166,1
106750144853075,Western Visayas Peace Advocates,Western Visayas Peace Advocates,164,4
956992934491805,Jaye Lacson-Noel,Jaye Lacson-Noel,156,1
119885221094759,Caloy Andes Loria,Caloy Andes Loria,144,1
107463358538636,planetGOLD Philippines,planetGOLD Philippines,137,2
100926522848043,Kuya Oweng Eagles Merchandise,These ads ran without a disclaimer,137,1
100528022689066,Association of Concerned Citizens - WV,Association of Concerned Citizens - WV,137,2
103234338747358,MJournal,MJournal,131,1
1710652982556834,Lee Ann Debuque,Lee Ann Debuque,128,2
1834423440210624,"Bantay Konsyumer, Kalsada, Kuryente","Bantay Konsyumer, Kalsada, Kuryente",128,1
1513598595608136,Konsehal Phillip Yerro Kimpo,Konsehal Phillip Yerro Kimpo,126,3
352659278684227,MP Marjanie S. Mimbantas Macasalong,MP Marjanie S. Mimbantas Macasalong,126,4
100108226244136,PH 24 ORAS,Message Doctor PH Company,126,2
110505531540054,Hon. Tata Ortega-Casetta,Hon. Tata Ortega-Casetta,125,2
104291395914077,Nuclear Supporters PH,Nuclear Supporters PH,121,2
1647474828693396,Bong Go,Bong Go,121,1
112586745088105,rechtsanwalt.lehner,These ads ran without a disclaimer,121,1
102096659031494,Cong. Arnan C. Panaligan - House of Representatives,Cong. Arnan C. Panaligan - House of Representatives,118,3
2272110229474022,Bagong Bicol,Bagong Bicol,116,1
100228085283881,Support to Bangsamoro Transition - Subatra,Support to Bangsamoro Transition - Subatra,109,1
390884307668604,"Jose Mari ""Joey"" G. Peláez","Jose Mari ""Joey"" G. Peláez",109,1
105016022410958,One Dialysis Renal Center - Cainta,These ads ran without a disclaimer,105,1
1860498353989958,Carl Steven Avellana Weigel,Carl Steven Avellana Weigel,104,1
529901257160994,Paz Radaza,Klin Mar Mejo,103,1
104145285031597,Mayor Sammy Co,Mayor Sammy Co,101,1
110774773589020,Jonas Porto Labuguen,These ads ran without a disclaimer,101,1
226677414910322,Congresswoman Baby Aline Vargas Alfonso,Congresswoman Baby Aline Vargas Alfonso,≤100,1
203327936686109,Mujer-LGBT Organization,These ads ran without a disclaimer,≤100,1
105894749077530,Ka Pina Garcia,Ka Pina Garcia,≤100,2
207494196545897,"San Anselmo Publications, Inc.","San Anselmo Publications, Inc.",≤100,1
366797844060990,Now You Know,Now You Know,≤100,1
279292210553771,Protect the Verde Island Passage,"Center for Energy, Ecology, and Development",≤100,1
1706379116093495,Councilor Michael Dy,Councilor Michael Dy,≤100,1
178941529519837,Edgar M. Chatto,Edgar M. Chatto,≤100,1
111303025104461,Yarn ang Pinoy,Message Doctor PH Company,≤100,1
480552092150213,Malayang Quezon City,Message Doctor PH Company,≤100,1
100524842436526,Malayang Pilipinas,The Message Booster Corp.,≤100,1
114800534893965,Ligtas na Pilipinas,Message Doctor PH Company,≤100,1
104595105786231,Pinoy OFW Network,Message Doctor PH Company,≤100,1
101410516123986,Birth & Bloom Collection,These ads ran without a disclaimer,≤100,1
959151100833476,Triple F Printing Press,These ads ran without a disclaimer,≤100,1
100136438865259,Ako Volunteer - BBM SARA,Volunteerism Initiative,≤100,1
103337511373222,Congresswoman Jam Agarao,Congresswoman Jam Agarao,≤100,2
105537992506657,Mayor Esmie Pineda,Mayor Esmie Pineda,≤100,1
100173486265813,Malayang Pilipinas,Message Doctor PH Company,≤100,2
101329642785264,Alyansa,Message Doctor PH Company,≤100,1
107344342185946,Councilor Omar Buenafe,Councilor Omar Buenafe,≤100,1
105691871912480,Joel B. Tingbaoen Jr.,Joel B. Tingbaoen Jr.,≤100,1
111300955049442,"CJD Accounting,  Bookkeeping and Tax Compliance Services",These ads ran without a disclaimer,≤100,1
595181867315621,Icel Del Rosario Morales,Icel Del Rosario Morales,≤100,1
106235362136492,SurfPlus Digital Recreation,SurfPlus Digital Recreation,≤100,2
105526014771322,"Jamail ""Atty. Jam"" Macla","Jamail ""Atty. Jam"" Macla",≤100,1
113167608417757,Pia Atutubo SK Chairwoman,Pia Atutubo SK Chairwoman,≤100,1
203327936686109,Mujer-LGBT Organization,Mujer-LGBT Organization,≤100,1
517082475052732,Gerick Francisco,Gerick Francisco,≤100,1
117678194597114,EDGAR Lapiña,EDGAR Lapiña,≤100,1
1019139998271114,Pasabog Ni Juan Malabonian,Pasabog Ni Juan Malabonian,≤100,1
103679252545648,Obrero Pilipino,Message Doctor PH Company,≤100,1
103990525079742,WEBT Laufer Kennel,These ads ran without a disclaimer,≤100,1
102389359204185,Cagayan de Oro City Information Office,Cagayan de Oro City Information Office,≤100,2
104001402372027,Vice Mayor Mark Villaluna Galsim,Vice Mayor Mark Villaluna Galsim,≤100,1
109166868720607,Konsehal Bell Gonzalvo,Konsehal Bell Gonzalvo,≤100,1
800660560021071,Hong Kong Free Press HKFP,These ads ran without a disclaimer,≤100,1
107468780926577,Bemar Dingding Torres,These ads ran without a disclaimer,≤100,1
324295137672092,Department of Energy Philippines,These ads ran without a disclaimer,≤100,1
802090139805877,Tony Marioghae,These ads ran without a disclaimer,≤100,1
102655732726194,Dsign Emblems and Tags Manufacturing,These ads ran without a disclaimer,≤100,1
601665619989172,PNP Women and Children Protection Center,These ads ran without a disclaimer,≤100,1
110588098572284,Maharlika News PH.,Maharlika News PH.,≤100,1
1717497868504337,Truth and Moments,These ads ran without a disclaimer,≤100,1
107709755469083,Bayan ng Magigiting,Message Doctor PH Company,≤100,1
111004378604126,HeyNovel,These ads ran without a disclaimer,≤100,1
459876184211182,The Ad Makers,These ads ran without a disclaimer,≤100,6
1096538887134446,Reuters Plus,These ads ran without a disclaimer,≤100,1
110519061420262,Fox Chill,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,1
475778355919914,BB - Best Bios,These ads ran without a disclaimer,≤100,1
137412866820,RSL Awards,These ads ran without a disclaimer,≤100,1
104738335990390,Fnuhj-1234,These ads ran without a disclaimer,≤100,1
111831385213220,Trebas Institute Toronto,These ads ran without a disclaimer,≤100,1
1027626217435226,Richouses,These ads ran without a disclaimer,≤100,1
110677194902720,Ok Reading,These ads ran without a disclaimer,≤100,1
101450256187581,365 DREAM MART,These ads ran without a disclaimer,≤100,1
103440071784916,The Dancing Cucumber Center,These ads ran without a disclaimer,≤100,1
