Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
214225965275748,وكالة وطن للأنباء,وكالة وطن للأنباء,≤100,8
100268935176128,Horizon Center,Horizon Center,≤100,2
106967692404220,بوابة طولكرم,These ads ran without a disclaimer,≤100,1
111122863753751,3al Ard عالأرض,3al Ard عالأرض,≤100,1
110517310513830,بلاد الإخباري,These ads ran without a disclaimer,≤100,1
344778292961482,المهنية العالمية للمشاريع التعليمية. Pgmep,These ads ran without a disclaimer,≤100,1
107770630846691,Go,Social Developmental Forum – SDF,≤100,1
104525496023300,Language of Business,These ads ran without a disclaimer,≤100,1
114266928213954,المجلس التشريعي الفلسطيني PLC,المجلس التشريعي الفلسطيني PLC,≤100,1
299800777180254,Top tissus,These ads ran without a disclaimer,≤100,1
80493369332,U.S. Office of Palestinian Affairs,These ads ran without a disclaimer,≤100,1
126539264046580,Ibrahim Ghunaim,These ads ran without a disclaimer,≤100,1
880192282095073,مرصد السياسات الاجتماعية والاقتصادية-Social and Economic Policies Monitor,These ads ran without a disclaimer,≤100,1
106331565862003,vibelounge.io,These ads ran without a disclaimer,≤100,1
