Page ID,Page name,Disclaimer,Amount spent (SAR),Number of ads in Library
100249492929972,المنصة العامة,These ads ran without a disclaimer,≤100,1
107413148472477,hairstyle_hajer,These ads ran without a disclaimer,≤100,1
109713615109341,hairstayle_hanaa,These ads ran without a disclaimer,≤100,1
104447539409999,Canada job visa Agent,These ads ran without a disclaimer,≤100,1
113447615167498,100% উইনিং দিব এখনই কল করুন,These ads ran without a disclaimer,≤100,1
117818237850524,Tap - Digital Business Card KSA,These ads ran without a disclaimer,≤100,1
100167182971773,এম ডি হানিফ,These ads ran without a disclaimer,≤100,4
1652715988348313,Resalat Al Huda International Schools,These ads ran without a disclaimer,≤100,1
118148441279210,Dailyhunt Mena,These ads ran without a disclaimer,≤100,1
175590267993,Al Majalla,These ads ran without a disclaimer,≤100,1
109336455562115,Malek vai,These ads ran without a disclaimer,≤100,1
100816873063351,Dansid ds,These ads ran without a disclaimer,≤100,1
105785685712345,سمو الاميره سحاب بنت عبد الله آل سعود,These ads ran without a disclaimer,≤100,1
137412866820,RSL Awards,These ads ran without a disclaimer,≤100,1
299800777180254,Top tissus,These ads ran without a disclaimer,≤100,1
112414251083829,Doria Feminist Fund,These ads ran without a disclaimer,≤100,1
105902672565367,The Daily Newsline,These ads ran without a disclaimer,≤100,2
106331565862003,vibelounge.io,These ads ran without a disclaimer,≤100,1
102884255334340,Fully Delicious - Top Picks,These ads ran without a disclaimer,≤100,1
120723247667046,Rishi Budhathoki,These ads ran without a disclaimer,≤100,1
