Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
133044800622,Greenpeace España,Greenpeace España,1266,42
57845333112,Save the Children España,Save the Children España,1113,29
122074554119,EU Social,EU Social,1105,7
20108693880,Oxfam Intermón,Oxfam Intermón,726,48
78151799929,Amnistía Internacional España,Amnistía Internacional España,592,123
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,466,20
251020021637315,Iberdrola,Iberdrola,425,6
178362315106,European Parliament,European Parliament,341,10
57973661707,WWF España,WWF España,309,61
276999106249,Asociación Española Contra el Cáncer,Asociación Española Contra el Cáncer,264,31
213195432085504,Dirección General de Tráfico - España,Dirección General de Tráfico - España,213,6
169915749735403,CEAR,CEAR,212,27
175357075823543,CRIS contra el Cancer,CRIS contra el Cancer,208,40
1549407258706617,"Fundación ""la Caixa""","Fundación ""la Caixa""",205,1
120396981322744,Estrella Digital,Estrella Digital Comunicaciones S.L.,194,4
213086312044776,Aldeas Infantiles SOS de España,Aldeas Infantiles SOS de España,192,11
306840072990831,Socios Cruz Roja,Socios Cruz Roja,172,7
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,152,6
104690619568713,"Yo reciclo vidrio, ¿y tú?",Ecovidrio,122,8
821902454827883,Wave Of Change,Wave of Change,118,2
245741112112300,Ayuda En Acción,Ayuda En Acción,110,17
244777995534742,Ayuda a la Iglesia Necesitada - ACN España,Ayuda a la Iglesia Necesitada,≤100,46
116189118344,Fundación Igualdad Animal,Fundación Igualdad Animal,≤100,4
57973661707,WWF España,WWF España,≤100,16
47896270298,Iberostar,Iberostar Beachfront Resorts,≤100,2
103192768476161,Campaña Retadores,Campaña Retadores,≤100,2
161916260510295,Òmnium Cultural,Òmnium Cultural,≤100,11
553983948100016,Músicos por la Salud,Fundación Social District (Músicos por la Salud),≤100,25
116136108464509,CaixaBank,CaixaBank,≤100,6
146043418739497,Diari ARA,Diari ARA,≤100,47
300102416847349,Wetaca,Wetaca,≤100,1
174696652583261,Fundación Aladina,Fundación Aladina,≤100,12
100160149099313,Justice Initiative,Justice Initiative,≤100,4
307158232826015,Atlántico Instituto de Estudios,Atlántico Instituto de Estudios,≤100,13
100949746307943,Cima Universidad de Navarra,Cima Universidad de Navarra,≤100,26
815597255122198,Osoigo,Osoigo,≤100,9
341793479830142,Padrinos por la Discapacidad,FUNDACIÓN JUAN BONAL,≤100,2
120104454689359,MAPFRE,MAPFRE,≤100,17
190526467655484,Osakidetza,Osakidetza,≤100,1
