Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
2225116774410539,Medias241,Medias241,≤100,9
1965688513755178,ONE GABON,ONE GABON,≤100,3
110502500779854,Le Bistouri,Le Bistouri,≤100,2
109618870782121,Estuaire Infos,Estuaire Infos,≤100,4
365112800731445,Gabon Intelligence,Gabon Intelligence,≤100,1
104735424614055,Afrik Intelligentsia,Afrik Intelligentsia,≤100,2
102698871415609,La Republique,La Republique,≤100,2
110268710843372,Bangando News,Bangando News,≤100,1
622736535047023,Gabon Check,Gabon Check,≤100,1
328258683994414,Infos Express,Infos Express,≤100,2
101347565083625,Le Kongossa,Le Kongossa,≤100,1
105689492238115,Hubert Ella Minko,Hubert Ella Minko,≤100,1
105649124874323,Lelibrevillois,Lelibrevillois,≤100,1
382125448582889,Alexandre Barro Chambrier,These ads ran without a disclaimer,≤100,1
264110481145357,Honda hornet sicilia,These ads ran without a disclaimer,≤100,1
112858587224498,Presenters Analyzer Tv,These ads ran without a disclaimer,≤100,1
106334182540171,스키마리딩,These ads ran without a disclaimer,≤100,1
118331344683021,EcoSuds,These ads ran without a disclaimer,≤100,1
1509413712605916,ICAO - International Civil Aviation Organization,These ads ran without a disclaimer,≤100,1
176104589110851,IEEE,These ads ran without a disclaimer,≤100,1
118295187895771,Ep-010,These ads ran without a disclaimer,≤100,1
