Page ID,Page name,Disclaimer,Amount spent (HUF)
106137971228874,Rákay Philip,Megafon,143181
109217671008015,A kopasz oszt,Megafon,70042
294998357524107,Deák Dániel,Megafon,44578
120370174702378,Magyarország Kormánya,Magyarország Kormánya,26619
224274995688487,Bohár Dániel - Riporter,Megafon,12665
128596180810227,Stefi Déri,Megafon,11283
102414628645144,Korondy Tamás,Megafon,10825
109637397268775,Nyugati Pályán,Splendidea Communications Kft,8420
506244332746545,TEOL.hu,TEOL.hu,3524
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,3396
543788999005363,ORIGO,Mediaworks Hungary Zrt.,2639
438674070213065,Magyar Állampapír,Magyar Állampapír,2125
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,2052
294815374340858,Donáth Anna,Donáth Anna - Momentum,1611
178362315106,European Parliament,European Parliament,1573
191461774219575,hirado.hu,hirado.hu,1437
112098124733732,Szeretlek Tolna,Genesis Médiacsoport Kft.,1387
108346693873484,Győrffy Balázs,Balazs Gyorffy,1268
100299381703981,Ps TV,PestiSrácok.hu,1238
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,1091
248172631940,Mandiner,Mediaworks Hungary Zrt.,931
123910440019,Renew Europe,Renew Europe Group,744
594088897289853,Alapjogokért Központ,Alapjogokért Központ,694
1386827764871321,Harangozó Tamás,Dr. Harangozó Tamás Attila,686
268042136672212,Századvég,Századvég Közéleti Tudásközpont Alapítvány,637
1408906262689093,Nyitrai Zsolt,Fidesz,620
142116653162328,Márki-Zay Péter,Márki-Zay Péter,608
1265353903615539,Oeconomus,Oeconomus,587
108395900927334,Kovács István,Kovács István Megafon,481
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,462
103874348723105,Megoldás Mozgalom,Megoldás Mozgalom,462
1652741928333536,KPSVR,KPSVR Media,460
126539424061030,Háttér Társaság,Háttér Társaság,452
357079611525209,Békés Kalocsáért Egyesület,Békés Kalocsáért Egyesület,442
110435704162069,V. gr. Molnár-Gazsó János,Vitezi Rend,407
345496092135627,Hír TV,Mediaworks Hungary Zrt.,363
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,353
105129068891221,Frisshirek.hu,Genesis Médiacsoport Kft.,326
1869511526651884,Zsigmond Barna Pál,Fidesz,318
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,311
1487569941539650,Tanítanék,Humán Platform,309
237088069704442,Kósa Ádám,"Adam Kosa, Member of the European Parliament",284
447204268797621,RTL.hu,RTL.HU,281
131283758531,HVG,HVG Kiadó ZRt.,281
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,264
851784814892644,Simicskó István,KDNP frakció,261
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,248
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,241
128573907819549,Fekete-Győr András,Momentum Mozgalom,234
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,231
196431174341272,József Felföldi,József Felföldi,215
106280224056208,Gelencsér Ferenc,Momentum Mozgalom,207
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,205
592204747588011,Momentum Mozgalom,Momentum Mozgalom,201
108248022589754,Bosch Magyarország,Bosch Magyarország,200
109844717848217,Klímapolitikai Intézet,Klímapolitikai Intézet,184
101028767982783,Ne dolgozz ingyen,PDSZ - Pedagógusok Demokratikus Szakszervezete,175
100905288315705,Jelen hetilap,Liberty Press Kft.,171
132593883577930,Dr. Keresztes László Lóránt,LMP - Magyarország Zöld Pártja,152
1313300228710330,BASF Mezőgazdasági megoldások,BASF Hungária Kft.,151
1534911313439123,Ripost,Ripost,145
1215492498464496,Angyal Károly,Angyal Károly Tibor,145
243470906428319,Juhász Hajnalka,Juhász Hajnalka,132
270300439972751,Szemlélek,Szemlélek Alapítvány,127
100103228401991,Axióma,Axióma Kulturális Alapítvány,126
