Page ID,Page name,Disclaimer,Amount spent (COP)
1004865626202028,Jaime Peña Peñaranda,Joseph Ferney Galvis Gonzalez,31448
264104919248,Alcaldía Distrital de Barranquilla,Alcaldía de Barranquilla,24191
130834367164,Red PaPaz,Red PaPaz,15441
812165288875574,Jaime Pumarejo,Alcaldía Distrital de Barranquilla,14514
1789118197998842,Honorio Miguel Henriquez Pinedo,Honorio Miguel Henriquez Pinedo,12574
1541343899476701,Simón Molina,Simon Molina,10626
1896813010334035,Secretaría de Educación de Barranquilla,Joseph Ferney Galvis Gonzalez,9676
117374017630746,Limpieza con Derechos,Jerson David Londoño Pineda,8775
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,6753
103753489693220,Acciona,These ads ran without a disclaimer,4995
251292808253299,Canadian College,Canadian College,3483
105848177845789,All Out en español,All Out Action Fund,2836
110638213894259,Artemisas,egoCity,1388
152939514772308,Elsa Noguera,Gobernación del Atlántico,1094
468683789980124,Joao Herrera,José Joao Herrera Iranzo,1055
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,886
1766366823576506,La Paz Querida,La Paz Querida,843
1529335724037224,Aeropuerto del Café,INTUAL,764
362827957704531,Marco Adrián Artunduaga Gómez,Carlos Alberto Carrillo Perez,712
267198759973201,Bairon Enrique Muñoz Lizarazo,Bairon Enrique Muñoz Lizarazo,646
1488419784774409,Alcaldía de Soledad,Alcaldía Municipal de Soledad,629
113149344929527,Loly Montañez,Loly Montañez,532
190183164951829,Jose Ivan Rojas Lizcano,These ads ran without a disclaimer,502
241361679884629,Branding Up Col.,Miguel Angel Gomez Parra,449
103972301485985,Oficina Asesora de Planeación Departamental del Cauca,Henry Leonardo Romero Moncayo,433
179003239458192,Jorge Humberto Rangel,Jorge Rangel,401
1400280116941194,Fabian Diaz,Fabian Diaz,314
105477297494929,Por la Universidad que queremos.,John Alex Vera,309
106081525464698,SOY Patrimonio - Pienso Investigo y Conecto,These ads ran without a disclaimer,294
303695930565561,Miguel Zarate,Miguel Anthony Zarate Nieves,273
103722402569874,Movil Academy,Movil Consultores,268
466445923412524,Miguel Ángel Barreto,Joshua Escobar Rengifo,227
856012741442139,Ipas LAC,Neuma,221
517994638230687,Gobernación de Sucre,Gobernación de Sucre,194
635341746594602,Carolina Giraldo Botero,Carolina Giraldo Botero,188
193124670731434,Fenalco Valle del Cauca,Fenalco Valle,185
100481338357144,Comunas de Medellin,Comunas de Medellin,183
114778278552099,Octavio Cardona León,Octavio Cardona León,161
106083021215996,Todos por Medellín,Todos por Medellín,132
100767064914690,Fundación Colombia 2050,Fundación Colombia 2050,130
117893284924640,Universidad Ean,These ads ran without a disclaimer,129
101849862549690,Alurack,These ads ran without a disclaimer,127
103727635426939,Alexandra Vásquez Ochoa,Leider Alexandra Vasquez Ochoa,102
100383352725236,Presentes,These ads ran without a disclaimer,≤100
252640334936797,Skandia Colombia,Kelly Vanessa Cuellar Garces,≤100
460297427472944,Corporación  Educativa Politécnico La Salle,Corporación Educativa Politécnico La Salle,≤100
407615769604377,Mutante,Fundación Mutante,≤100
669760553048012,Alcaldía Local de Kennedy,Alcaldía Local de Kennedy,≤100
835710939898329,Paulina Aguinaga,Paulina Aguinaga,≤100
333260000169400,Nariño Vive Underground,José Felix Champutis Calpa,≤100
330613740362540,Voces Regionales WEB,Jaime Montaño Castro,≤100
309383129136101,Secretaría Gobierno de Bogotá,Julian Esteban Cardona Reyes,≤100
397486027086515,Julio Devoz,Julio Cesar Devoz Carrasquilla,≤100
360840354678432,MK Team 24 7,Michel Wadih Kafruni Marin,≤100
200207836752561,Opinión Caribe,Opinión Caribe,≤100
107651968500684,samiabougalim,These ads ran without a disclaimer,≤100
116780567115083,Tissue Online Latinoamérica,These ads ran without a disclaimer,≤100
85147586731,Julio César Triana,Julio César Triana,≤100
109495624881015,Carlos Acosta Juliao,Toro Digital 1972,≤100
106924857780633,Be Bloomers,These ads ran without a disclaimer,≤100
