Page ID,Page name,Disclaimer,Amount spent (COP)
130834367164,Red PaPaz,Red PaPaz,3359
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,1728
103972301485985,Oficina Asesora de Planeación Departamental del Cauca,Henry Leonardo Romero Moncayo,1719
196708007369368,Mi Valle Del Cauca,Markate en la web,662
117374017630746,Limpieza con Derechos,Jerson David Londoño Pineda,624
267198759973201,Bairon Enrique Muñoz Lizarazo,Bairon Enrique Muñoz Lizarazo,584
113149344929527,Loly Montañez,Loly Montañez,565
2308381916109967,Libardo Asprilla,Jaimer Cantillo Bello,542
105848177845789,All Out en español,All Out Action Fund,415
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,269
117255605587647,Leonardo Huerta,Leonardo Huerta,225
347829805566702,Colombia Noticias,Markate En La Web,222
1766366823576506,La Paz Querida,La Paz Querida,210
471698040072735,Siagama/Alcalde P/R,Leonardo Siagama,202
106892197676696,Pedro León Martínez,Pedro León Martínez Sánchez,148
466445923412524,Miguel Ángel Barreto,Joshua Escobar Rengifo,112
734195543347719,Javier Julio Bejarano,Javier Julio Bejarano,≤100
1400280116941194,Fabian Diaz,Fabian Diaz,≤100
362827957704531,Marco Adrián Artunduaga Gómez,Carlos Alberto Carrillo Perez,≤100
898149710234557,Gobernación de Risaralda,Gobernación de Risaralda,≤100
1130613886971903,Alejandro Abuchar,Byron Andres Velez Valdes,≤100
1815626541807349,Agencia de Periodismo Investigativo,Norbey Quevedo Hernandez,≤100
517994638230687,Gobernación de Sucre,Gobernación de Sucre,≤100
201155736602572,Hernán Alberto Bedoya,Hernan Alberto Bedoya Cadavid,≤100
330613740362540,Voces Regionales WEB,Jaime Montaño Castro,≤100
105753752379216,Stevens Achury,These ads ran without a disclaimer,≤100
108158921672438,Llener Borja,Alvaro Jose Gomez Ramirez,≤100
179003239458192,Jorge Humberto Rangel,Jorge Rangel,≤100
311351563056444,CÂSCARA,These ads ran without a disclaimer,≤100
314343331981142,Mundo Sano,These ads ran without a disclaimer,≤100
635341746594602,Carolina Giraldo Botero,Carolina Giraldo Botero,≤100
835710939898329,Paulina Aguinaga,Paulina Aguinaga,≤100
252640334936797,Skandia Colombia,Kelly Vanessa Cuellar Garces,≤100
460297427472944,Corporación  Educativa Politécnico La Salle,Corporación Educativa Politécnico La Salle,≤100
112064890693256,Julio César Gómez Salazar,Julio César Gómez Salazar,≤100
106083021215996,Todos por Medellín,Todos por Medellín,≤100
185965224778568,Diario Occidente,Nuevo Diario Occidente,≤100
103727635426939,Alexandra Vásquez Ochoa,Leider Alexandra Vasquez Ochoa,≤100
333260000169400,Nariño Vive Underground,José Felix Champutis Calpa,≤100
85147586731,Julio César Triana,Julio César Triana,≤100
251292808253299,Canadian College,Canadian College,≤100
821430017924241,Sungrow,These ads ran without a disclaimer,≤100
100110839590746,UN BUEN TRATO,These ads ran without a disclaimer,≤100
131314590235972,DW Español,These ads ran without a disclaimer,≤100
233654837608,La Crónica de Hoy,These ads ran without a disclaimer,≤100
