Page ID,Page name,Disclaimer,Amount spent (INR)
187668288312583,Otrivin,Haleon India,94800
54779960819,United Nations,United Nations with Facebook Ad Credits,25475
294493857651676,Rahul Gandhi,Indian National Congress,13616
875420125855408,Dhanraj Vispute,Siddigital,7249
21169267101,Give,Give,7182
2078242259060363,Kukufm,Mohana Saha,6099
103704155350118,Gates Foundation India,The Bill & Melinda Gates Foundation,4917
30290552843,Greenpeace India,Greenpeace India Society,3477
105671775473178,Jan Suraaj,Jan Suraaj,3286
107395897271506,Kutumb,Swatantra Verma,2600
158714780827513,UNFPA,UNFPA,2036
1203697573031051,RK Imo Singh,Rajkumar Imo Singh,1637
109888271582555,Be The Change For TB,Johnson & Johnson India Private Limited,1522
102112998968049,भाषण कला स्पेशल,Pavankumar Dadasaheb Jadhav,1484
103858322283790,रविंद्र चव्हाण For BJP महाराष्ट्र,Bhajahari Pandit,1314
369780283211302,Dr. Sudhakar K,Dr. K Sudhakar,1311
109354741887336,Udhay Anna - உதய் அண்ணா,Politicode,1298
2130437157003257,Kiran Sali - किरण साळी,RankTech Solutions,1267
338916089834787,Vaibhav Bharadkar,Pactic Media Concepts,1182
102028027843659,Vishay Khol - विषय खोल,Pratik Sunil Sharma,1168
107482571750112,Mayur Daundkar,Shamal Hiralal Khairnar,1156
106621365518121,Shyam Prajapati,Shyam Prajapati,1119
127234961352526,Abhijeet Patil - अभिजीत पाटील,Nachiket Arvind Patil,1119
1437285613167585,Dr Sujay Vikhe Patil,Sanket Sandeep Dhorje,1096
298451310555,Volvo Car India,These ads ran without a disclaimer,1008
147699975283367,Ranajagjitsinha Patil,Trimurti Techserv Pvt. Ltd.,962
586574801848194,Sunil Mendhe,Sharada Consultancy Services,913
605390272841833,Shrirang Appa Barne,Abhay Balu Ahire,841
109986065209042,Mera Apna Rahul,Mera Apna Rahul,836
390976557590103,I Support Narendra Modi,Adv Tech,829
1190373854366805,Maharashtra Today,Maharashtra Today,770
381955135781255,Distoy Farak Shivshahi Parat,shivshahiparat.com,754
441249902634004,Baba Siddique,Baba Siddique,749
146210172453196,Dj Sagar Music Recoding Studio Barshi,Survase Samarth Shekhar,732
20386543316,WWF-India,Mukesh Nauhwar,727
165714096933078,Piyush Goyal,Piyush Goyal,704
103704155350118,Gates Foundation India,These ads ran without a disclaimer,697
466642616726169,Parul University,Parul University,660
1559901027613381,TRT World,These ads ran without a disclaimer,634
109533447462224,Chittaranjan Nana Gaikwad - चित्तरंजन नाना गायकवाड,Ashwini Navnath Pawar,603
132309676835568,Lokmat,Pranoti Vasant Dalvi,586
990230371000328,Yuvraj Sambhajirao Beldare,Yuvraj Sambhaji Beldare,578
1764533767120960,Arun Rajwade - अरुण राजवाडे,Omkar Ramesh Bibave,557
184037471806795,Om Rajenimbalkar - ओम राजेनिंबाळकर,Sagar Sarangdhar Randive,551
696682427199877,Udaysing Rajput - उदयसिंग राजपूत,Udaysing Sardarsing Rajput,533
565225540184937,CGTN,These ads ran without a disclaimer,533
298361834441412,Marathi Viral League,Marathi Viral League,527
107113000831690,Dr.Manik Saha,maniksaha.com,517
109707661884154,Indian Compass,theindiancompass.com,502
642996226201566,Sudhakar Shrangare,Aslam Afroz Kazi,500
103782051383159,School of Politics,School of Politics,494
265195530302394,Balasaheb Thorat,Inspire,477
132480390432415,Jindal Stainless Solutions,Chariot Media,472
159111004444064,NACO India,Naco India,435
526222491203445,The Chaupal,Adv Tech,430
243524299157863,Pushkar Singh Dhami,Pushkar Singh Dhami,422
412651369125290,BJYM Mumbai,BJYM Mumbai,420
107180972114487,"Chandrakant Dada - Vision, Mission and Values",GRIP AMATYA PVT LTD,418
198298410367433,Laxman Jagtap,Laxman Pandurang Jagtap,418
502940219791637,Vaidya Academy,Vaidya Academy,412
115412929899218,Vinod Mapari Page,Pravin Vasantrao Rulhe,393
181790349364184,आदित्य सुभाष केळकर,Swapnil Maruti Deokar,379
100735178208398,Udyami India,Samadhan Samiti,361
369063569936141,Lung Care Foundation,Lung Care Foundation,351
100934648056762,ॲड. विशाल भाऊ जाधव युवा मंच,These ads ran without a disclaimer,350
113013977855661,Mansing Pachundkar Patil- मानसिंग पाचुंदकर पाटील,Social Rajneeti,338
106007222339065,Shikha Gupta Bhardwaj,Shikha Bhardwaj,325
184278081698180,Ashok Gehlot,Ashok Gehlot,314
1360805680600676,Sandeep Kshirsagar,Yogesh Padmakarrao Pawar,310
101761396108803,रविंद्र चव्हाण - नेतृत्व जनसामान्यांचे,Ashish Suryakant Babar,308
105915151834417,Budget Hospital,Shaikh Slman,302
105134585596379,अमित पुरुषोत्तम रांगणेकर - मनसे,Amit P Ranganekar,301
100467512847407,Rahul Balwadkar,Shivray Production,295
109396994667229,Vikrant Chandrahas Tawde,Vikrant Chandrahas Tawde,292
103713345529119,Shahajibapu Patil,Rohitkumar Narayan Shinde,282
375141272567406,Ravindra Chavan,Rushikesh Abhijit More,280
481470751983754,Ravikant Tupkar,Ravikant Chandradas Tupkar,277
1569852659799372,Nishant Anand,Nishant Anand,267
581568278627202,Jitendra Awhad,Mohasin Azad Shaikh,266
892816974073155,Nagpur Metro Rail,Nagpur Metro Rail Project,264
537021156329658,Sukhbir Singh Jaunapuria,Pankaj Sharma,262
