Page ID,Page name,Disclaimer,Amount spent (ISK)
314036327204,VR,VR,18751
573559522797177,Flokkur fólksins,Flokkur Fólksins,13189
263095547109656,Sjálfstæðisfélag Garðabæjar,Sjálfstæðisflokkurinn,2978
737169626371453,Stundin,Stundin,2380
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,1726
196907954119033,Orkustofnun,Orkustofnun,1493
129796363737534,Garðabær,Garðabær,1358
165630723862615,Andríki,Andríki,1265
137524753533383,Miðflokkurinn,Miðflokkurinn,1111
157073914303469,Stjórnarskrárfélagið -The Icelandic Constitution Society,Stjórnarskrárfélagið,1001
162409941250265,Sanna Reykjavík,Sósíalistaflokkur Íslands,795
184042545536602,Garðabæjarlistinn,Garðabæjarlistinn,605
154893001218870,ADHD samtökin,ADHD samtökin,544
106979180938014,Samstöðin,Samstöðin ehf,524
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,494
192789944066997,Samtök ferðaþjónustunnar,Samtök ferðaþjónustunnar,352
95775573753,Frontiers,These ads ran without a disclaimer,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
103455699228513,Black Dales,These ads ran without a disclaimer,≤100
100497568096454,Mudfish No Plastic,These ads ran without a disclaimer,≤100
1083597725003936,Neste,These ads ran without a disclaimer,≤100
