Page ID,Page name,Disclaimer,Amount spent (IDR)
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,1083770
102331445974678,G24 Golkar Kalbar,Yayasan Golkar Institut SPKP,161500
102712985995817,Sobat Airlangga Hartarto,Aditia Ramdani,117676
164882486874333,antaranews.com,antaranews.com,77281
105818752347206,Teman Airlangga Hartarto,Aditia Ramdani,67927
110090765246136,Yanti Airlangga,Yayasan Golkar Institute SPKP,66059
197545083607941,Harian Kompas,Harian Kompas,38831
102122622640795,Catatan Menko Airlangga,Yayasan Golkar Institut,33999
143840239716746,Indozone.id,PT. INDOZONE MEDIA INDONESIA,31936
614375262100876,Partai Nasdem,Naila Saadah,28014
110454451763465,Sambas Bersinar,Ganjar Nusantara Indonesia,18928
101960622677350,E-KTA Partai Golkar,Yayasan Golkar Institute SPKP,18807
100452782779664,Kubu Raya Terpancar,Ganjar Nusantara Indonesia,18394
108033718631640,GP Kalimantan Barat,Ganjar Nusantara Indonesia,18242
103154962503579,Penggemar Pontianak,Ganjar Nusantara Indonesia,18021
756567881057213,Airlangga Hartarto,Airlangga Hartarto,16262
110533431433182,sahabatreglow,These ads ran without a disclaimer,15293
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,14632
102060486500863,The Jakarta Post,PT. Bina Media Tenggara,8040
68793499001,UNICEF,UNICEF with Facebook Ad Credits,7394
103421759149899,Geocorner Indonesia,Geocorner,7169
105308715676825,Filosofi Indonesia,Ganjar Nusantara Indonesia,6760
107965558190911,Bansos by DTKS,Mirza Eko Purwanto,5889
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,5850
104317482149268,DPRD Provinsi Jawa Timur,Dinni Anggraeni,5402
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,5245
106883058905796,Tanda Seru,Aditia Ramdani,4825
202555993805088,Caption,Ganjar Nusantara Indonesia,4312
102273039070802,Info Terkini,Muhammad Miftakhunnaim,4177
103642302499894,Reglow Skincare BPOM,These ads ran without a disclaimer,4158
105078775340816,Satuan Tugas UU Cipta Kerja,Satuan Tugas UU Cipta Kerja,3963
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,3618
101338198587608,Indonesia Luar Biasa,Ganjar Nusantara Indonesia,3522
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,3486
101601538648991,Gerindra Lampung Official,"Asroni Paslah, S.Pd",3362
113058461386521,Mercusuar Indonesia,Ganjar Nusantara Indonesia,3214
101428652793656,Readktif,Aditia Ramdani,3035
100738338510838,Bangkitlah Indonesia,Iwan Hardiansyah,2871
104622532469179,Populis,Aditia Ramdani,2742
101203454841155,Kota Kite,Prayogo,2705
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,2587
104830667806476,Melihat Indonesia,Ganjar Nusantara Indonesia,2573
173776079818775,Saiful Mujani,Saidiman,2511
106559844743969,kumparanplus,PT. Dynamo Media Network,2412
105195635486519,Klise Nusantara,Ganjar Nusantara Indonesia,2384
100493776029547,SiCaleg - Aplikasi Pemilihan Legislatif,SiCaleg,2038
108676115131939,Nusantara Cerdas,Ganjar Nusantara Indonesia,1883
144214102401186,Maman Abdurrahman,Maman Abdurrahman,1591
110368964786452,Kemajuan Bersama,Muhammad Miftakhunnaim,1564
831913303630052,Politeknik Internasional Bali,These ads ran without a disclaimer,1533
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,1512
104799384898162,Indonesia Berkabar,Ganjar Nusantara Indonesia,1470
101726745880907,Kita Satu Hati,Kita Satu Hati,1398
100398849135155,Sandiku Sayang,Iwan Hardiansyah,1142
112055159456299,Parlemen Stamplat,These ads ran without a disclaimer,1113
110100218339060,Wahai Ibu Pertiwi,Muhammad Miftakhunnaim,931
100497568096454,Mudfish No Plastic,These ads ran without a disclaimer,887
223999904856495,Graha Nusantara,Ahmad Syauqi,886
100147872667354,Kata Nusantara,Ganjar Nusantara Indonesia,756
100359258525418,Pemulihan Lebih Baik,Muhammad Miftakhunnaim,691
107653965461442,Bisa Peduli,Ziba Amirullah,602
102497641558430,Indonesia Tolak HOAX,Muhammad Miftakhunnaim,573
108571334357297,Melangkah Lebih Baik,Muhammad Miftakhunnaim,558
100739975934515,Kemajuan Tanah Air,Muhammad Miftakhunnaim,558
103581752405141,Sobar Harahap,Juniar Dwi Harianto,554
108695584343029,Baik Untuk Kita,Muhammad Miftakhunnaim,545
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,542
108938665190270,Sahabat Langit7.id,PT LANGIT TUJUH SEJAHTERA,503
101403669397488,Nikmatul Sugiyarto,Juniar Dwi Harianto,491
101076948451651,Masa Depan Kita,Muhammad Miftakhunnaim,448
110952238516382,Kiki Daliyo,Dwi Wantoro,398
107565455160464,Indonesia Opini,Ganjar Nusantara Indonesia,363
100676262667808,Story Nusantara,Ganjar Nusantara Indonesia,362
101403669397488,Nikmatul Sugiyarto,Ganjar Nusantara Indonesia,327
103581752405141,Sobar Harahap,Ganjar Nusantara Indonesia,321
104843487722931,Portal Islam id,Portal Islam ID,293
110056788323890,Pikiran Indonesia,Ganjar Nusantara Indonesia,283
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,≤100
110002521854558,Reglow Beauty Skincare,These ads ran without a disclaimer,≤100
171795872872353,ISPI - Istituto per gli studi di politica internazionale,These ads ran without a disclaimer,≤100
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100
