Page ID,Page name,Disclaimer,Amount spent (TWD)
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,883
467933563234921,南門書局-網路圖書名店、也有實體店面，誠信可靠！,玉河 孫,170
693907914395620,良杯製所 Oolab,良杯製所 Oolab,146
113021403762187,法律協會-債務協商 更生 清算 -全台服務,傢宇 吳,137
105864701769057,瑞馳智庫學院,瑞馳智庫股份有限公司,132
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),115
555403217887724,台灣國際器官移植關懷協會（Taicot）,台灣國際器官移植關懷協會（Taicot）,≤100
110699089014688,三立新聞,三立新聞,≤100
664175463714845,50＋好好：用新的方法，創造自己的理想老後,50＋好好：用新的方法，創造自己的理想老後,≤100
101046209392101,新事貸-新鑫特優經銷商,新事貸-新鑫特優經銷商,≤100
390569611008641,願景工程基金會 Vision Project,願景工程基金會,≤100
106801464127093,目目非營利 MUVE NPO,目目非營利,≤100
127628276929,天下雜誌,天下雜誌,≤100
335544036485779,經濟部,經濟部,≤100
322447507832934,文茜的世界周報 Sisy's World News,文耀胡,≤100
177161918975981,基督教芥菜種會,基督教芥菜種會,≤100
347432368933987,LINE TODAY Taiwan,LINE TODAY Taiwan,≤100
796994720374176,鳴人堂,鳴人堂,≤100
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,≤100
158025223269,今周刊,今周刊,≤100
286487218798,遠見雜誌,遠見雜誌,≤100
219315794887869,聯合報,聯合報股份有限公司,≤100
359293781476624,看護達人 華鎰仲介,看護達人 華鎰仲介,≤100
104624290080479,張育美,翊斌黃,≤100
125386714156073,天使心家族社會福利基金會,天使心家族社會福利基金會,≤100
1847777185521418,放言 Fount Media,放言科技傳媒股份有限公司,≤100
1649523455281990,遠山呼喚,遠山呼喚,≤100
1537741526464370,桃園市議長邱奕勝,奕勝 邱,≤100
236329653113740,台灣玩具圖書館,台灣玩具圖書館,≤100
282131515802876,新北民政保平安,采威國際資訊股份有限公司,≤100
211730475524462,大陸委員會,大陸委員會,≤100
171759036215066,創世紀不動產教育訓練中心,Micky  Wu,≤100
101324348112899,台灣好鄰居協會,社團法人台灣好鄰居協會,≤100
101355918337667,地天泰國際顧問有限公司,地天泰國際顧問有限公司,≤100
170671044596,天主教善牧基金會,天主教善牧基金會,≤100
276183192418062,熊米屋烘焙坊,柏璋蘇,≤100
306276709452272,文化部,文化部,≤100
107456375276067,我覺得台灣超強的啊，怎麼會搞這樣？,Chia Chun Chen,≤100
103141681121150,城市學,遠見雜誌,≤100
1632601180343924,臺科大 EMBA,梅良楊,≤100
201785650801,亞洲大學(Asia University Taiwan),亞洲大學,≤100
1855418728011324,鏡週刊,鏡週刊,≤100
143501712383911,白雪姬 喫趣玩,These ads ran without a disclaimer,≤100
164216566973089,Taiwan Raelian Movement 台灣雷爾運動,彭韋銘,≤100
719804228417042,未來生活實驗室 Lifeaholic,These ads ran without a disclaimer,≤100
470265436473213,衛生福利部,衛生福利部,≤100
226660410787355,民視體育新聞,民視新聞,≤100
201107280815936,潔淨學-不咬手潔淨體貼,永勝 許,≤100
2430390413849261,奕綸有限公司,京昀,≤100
102171452376534,陳財能,陳財能,≤100
106118168971467,債務人權益協會 扣薪 協商 更生 清算,傢宇 吳,≤100
116806840188577,中華民國不動產經營管理協會,中華民國不動產經營管理協會,≤100
104499778172400,臺灣雷伊漢勒世界公民中心,臺灣雷伊漢勒世界公民中心,≤100
197396410423992,國家地理雜誌,These ads ran without a disclaimer,≤100
117197561638092,台北旅遊網,台北旅遊網,≤100
101718182459153,天秤座戰士,Companionship Digital,≤100
235679595900,民視新聞,民視新聞,≤100
1629474157289221,小牛頓,小牛頓科學教育有限公司,≤100
239512030682497,第一手星聞,民視新聞,≤100
1598574570354053,台灣趨勢研究抽好康,台灣趨勢研究公司,≤100
191690867518507,江啟臣,江啟臣,≤100
188311137478,中時新聞網,時報資訊,≤100
174567875906128,Epson,台灣愛普生科技股份有限公司,≤100
237483602952352,黃適卓,適卓 黃,≤100
1649151078446134,卓冠廷,冠廷卓,≤100
109342485815974,屏東縣政府財稅局,元戎張,≤100
436843193180529,Unipapa,Unipapa,≤100
148513668543221,地球公民基金會,地球公民基金會,≤100
903637369830148,公正民意調查,公正民意調查,≤100
101445749266285,哇新聞,哇新聞,≤100
1487218698275407,南門書局二店-網路特價書店-也有實體店面，價格親民，誠信可靠的老店。（師友文化）,玉河 孫,≤100
107162861090654,法律協會-前置協商  更生 清算  免費諮詢,Yaya Lin,≤100
228234588681,阮昭雄,昭雄 阮,≤100
569626243213799,生鮮時書,生鮮時書,≤100
368820985964,台灣伴侶權益推動聯盟,台灣伴侶權益推動聯盟,≤100
215213505975,FUNDAY英語教育,FUNDAY英語教育,≤100
741150912895561,美光台灣 - Micron Taiwan,Micron Technology,≤100
2199675410320212,台灣制憲基金會 TNC,台灣制憲基金會 TNC,≤100
250722404960459,中華知識經濟協會,These ads ran without a disclaimer,≤100
938117856232411,康寧大學,惠玲高,≤100
679518422104905,民視全球新聞,民視新聞,≤100
103993244913942,Milly & Sissy 台灣,Stephanie Hsu,≤100
103351829736962,瑪利亞社會福利基金會,These ads ran without a disclaimer,≤100
101297638763256,識媒體,識媒體,≤100
131580750222123,SYM－SanYang Motor,博思網路有限公司,≤100
