Page ID,Page name,Disclaimer,Amount spent (PYG)
1593908204188878,Arq. Carlos López,Juan Roberto Villaverde Emategui,375528
175406365841914,Arnoldo Wiens,Global Agencia,328134
1593908204188878,Arq. Carlos López,Fabio Raul Morales Insaurralde,277369
1468570519872644,Santiago Peña,PRANA SA,238095
108246601026063,Derlis Rodríguez Diputado 2023,Derlis Manuel Rodríguez Baez,231338
196599783696918,Efrain Alegre,Pedro Efraín Alegre Sasiain,180375
1222077187832207,Gustavo Leite,Gustavo Alfredo Leite Gusinky,115440
1310731702357133,GEN,GEN,115440
532716330164048,Sole Núñez,Soledad Núñez,114358
108220338670232,Arturo Gossen Valdez,Mehssin Arturo Gossen Valdez,107213
1593908204188878,Arq. Carlos López,Claudio Raul Pezoa Ferreira,89513
1902370296678570,Carlos Godoy,Carlos Godoy Diputado,81830
1695481804025162,Eduardo Nakayama,Eduardo Hirohito Nakayama Rojas,64935
309537729651941,JuanMa Brunetti,Global Agencia,59567
101536148721873,Edu Chamorro,Ruben Zorrilla Fernandez,59482
110447625137045,Pilar Callizo,PautaPY,53631
132554373464255,La Nación,Nación Media,52020
266016903502005,Senador Carlos Gómez Zelada,Senador Carlos Gómez Zelada,51260
106205982201348,Ernesto Concejal,Ernesto Daniel Mareco Martinez,47515
397788123735216,Pey Vargas,Pedro Jose Emmanuel Vargas Carnibella,46406
286989224667281,Marito Abdo,Marca Py,44454
613341488786700,Miguel Del Puerto,Miguel Angel Del Puerto Silva,38963
550298315040554,Marcelo Soto,Marcelo Soto,32053
102961601810205,ARA FM,Zunilda Ramona Yrala Lopez,25752
199949073442305,Lilian Samaniego,Adventura,25332
325540631525675,En La Tecla,En la Tecla,23049
862862090459595,Seba Villarejo,Juan Sebastian Villarejo Velilla,22150
102266292553995,Sucia Política,Diego Ricardo Ramírez,20197
102193762632115,Patricia dos Santos,Patricia Dos Santos,18110
110676425107597,Lorena Balbuena - Candidata a diputada - V Departamento Caaguazú,Lorena Balbuena Diputada,17519
1805309279720550,El Observador Digital,El Observador Digital,16576
104096115823278,Tomas Bittar Junta de Gobierno 2023-2028,Tomas Enrique Bittar Navarro,15652
1011833908887463,Atilio Alegre,IMAGEN DE GOBIERNO,14767
113076310393725,Diana de Smith,Maria Cecilia Smith Villalba,14430
109830218400800,Lea Giménez,Lea Raquel Gimenez Duarte,11272
2033757383511165,Mario Paz Castaing,Rocio Magali Moreno Vera,10280
1832577620365172,Eusebio Ramón Ayala Senador 2023,Manu Nuñez Franco,10052
107378775349679,Rolando Alvarez Spinassi,PRODUCTORA TOKORRE,8890
285780602032681,Botito Lezcano,Jose Ivan Lezcano,8464
484457328277805,Eladio Ortiz,Eladio Ortiz Gayoso,8387
222961017827862,Edgar Olmedo,Edgar Olmedo,8361
1151984808290856,Hugo Portillo,Hugo Portillo,7507
110060281794994,Luis Talavera Alegre - Presidente 2023,José Emanuel Ruiz Díaz Bogado,7468
1441704549436832,Regina Rios,Regina Rios Irala,7215
106682318781403,Rafaela Guanes Senadora,Rafaela Guanes,7215
107564631419895,La Profe Any,Oscar Gustavo Caballero Martinez,7103
725834240910220,Noticiero Paraguay,Noticiero Paraguay,6905
490637354648727,Ing.Juan Carlos Baruja - Gobernador 2018/2023,Juan Carlos Baruja Fernandez,6441
111421181205339,Vidala Franco 2023,Christian Guillermo Vazquez Sanchez,6292
838018169889993,Fernando Ojeda,Fernando Ojeda,5805
1508684459364082,Tadeo Zarratea,Tadeo Zarratea Davalos,5804
263037407490496,Édgar López Gobernador,Christian Guillermo Vazquez Sanchez,5364
299252357224023,Darío Filártiga Opción 23 Senado,Fiorella Maria Sanchez Capurro,4985
1692624097481207,Mujeres GANAR,Comunicá,4557
420279778178605,Adelaida Diputada 2023,Adelaida Cantero De Torres,4544
943824938962084,Luis Fernando,Luis Carlos Arce,4158
103040788902949,Concertación Nacional 2023,Rocio Magali Moreno Vera,4054
106438588789107,Luis Palacios Intendente,Viviano Baez Gonzalez,3935
665680343451704,Lider Amarilla,Lider Santiago Amarilla Rios,3786
107823568693539,Lucas Aquino Senador,Hugo Ildefonso Espinola Ricardo,3708
1813746978719204,Diputado Nacional Pastor Soria Melo,Pastoremilio Soria Melo,3640
102467002671611,Jorge Heisecke,Jorge Heisecke,3628
103373961784268,Giani Ramírez,Gianina Beatriz Ramírez Riboldi,3551
141678063114851,Ruben Velazquez,Dalva Natividad Acosta Vallejos,3482
646939832039958,Hugo Ibarra - Diputado Nacional,Eladio Ortiz Gayoso,3377
101118654956109,Jorge Amarilla,Jorge Cipriano Amarilla Bobadilla,3343
517426394969535,Ricardo Canese,Ricardo Canese,3331
105162875597097,Marcelo Bedoya Senador 2023,PLRA,3230
105031404894363,Carlos Mercado Rotela,Daniel Elieser Mariño Suarez,3076
242118359309178,Ricardo Estigarribia,Douglas Mateus Hendges,2958
