Page ID,Page name,Disclaimer,Amount spent (EUR)
392341217527576,Gouvernement,Gouvernement,≤100
1465382927092690,Fondation de la Mer,Fondation de la Mer with Facebook ad credits,≤100
417997281579542,OnSexprime.fr,Santé Publique France,≤100
119691496094990,Omi,Omi SAS,≤100
256197435586,Handicap International - Humanity & Inclusion,Handicap International,≤100
9025047571,Amnesty International France,Amnesty International France,≤100
150776638286398,Fédération Française de Cardiologie,Fédération Française de Cardiologie,≤100
103243762630223,France - Prime Énergétique,These ads ran without a disclaimer,≤100
280037833461,ALIMA,ALIMA,≤100
109686207314440,Helios,Helios,≤100
360872200698949,Afev France,Afev,≤100
113579678698073,La SPA - Société Protectrice des Animaux,La SPA - Société Protectrice des Animaux,≤100
139957696020854,PYRAMIDE DISTRIBUTION,PYRAMIDE DISTRIBUTION,≤100
839832142857967,Grand Fermage,Eurial (Grand Fermage),≤100
107514721572444,Stop Fake Renewables,Stop Fake Renewables,≤100
177200762379537,Ad Vitam,Lucky Time,≤100
208598842537710,KMBO,KMBO,≤100
187587769643,StreetPress,StreetPress,≤100
