Page ID,Page name,Disclaimer,Amount spent (JPY)
475681929154100,国連UNHCR協会,国連UNHCR協会,11971
684161888345926,西日本新聞me,西日本新聞me,8920
1904070096535109,スマート選挙,株式会社センキョ,2991
402913729770062,なんばパークス（Namba Parks）,These ads ran without a disclaimer,2372
239558679475625,株式会社トマス技術研究所,Kenji Fukutomi,2065
664345490331547,ビジネス＋it（Business+it）,ビジネス＋it（Business+it）,1858
651801698258818,NewsTV,NewsTV,1678
208661552479830,日本財団,Shigeru Fujita,1658
298060150283457,大分県日出町,帆足吉美,1454
108376385402890,センキョマッチ,Saito Kimi,470
298060150283457,大分県日出町,大分県日出町,395
192399998157650,市来ハヤト（大阪維新の会）,市來隼後援会,355
544702409046206,手相の見方大事典テソペディア,株式会社Qu Creation,334
459101354119592,石巻金華鯖ずし”華ずし”,Tsubasa Itabashi,285
105869704455456,Beauty Style,These ads ran without a disclaimer,196
105190364351696,Abuild 就活,These ads ran without a disclaimer,189
892507460769381,改正だいすけ　生駒市議会議員,Daisuke Kaisho,133
259163764160829,FoE Japan,FoE Japan,112
104533215755145,ZOE_Japan,ZOE Japan,≤100
151214938794853,ミエセン,ジャッグジャパン株式会社,≤100
211683239011895,大東建託株式会社,ASUE株式会社,≤100
105371502336242,乌克兰.ua,These ads ran without a disclaimer,≤100
123217824515511,牛見 航  /  山口県防府市議会議員,Wataru Ushimi,≤100
1672330153015605,透明アクリル業者票,アドアチーブ株式会社,≤100
100199881840737,Minghui Japan（ミンフイ　ジャパン）ー明慧日本,明慧日本,≤100
102345105947737,選挙しか勝たん！どぶ板を業者に任せる楽ちん候補予定者のための「ポスターPR党」by 選挙ドットウィン「03-6915-2310」,僕俺株式会社,≤100
1559490264356988,NPO法人有明支縁会,NPO法人有明支縁会,≤100
1407941346087379,自民党遊説局,自民党遊説局,≤100
102199795319206,Pablo Marçal Oficial,These ads ran without a disclaimer,≤100
114564043562052,SDGs Online FESTA,Akiyama Kohjiro,≤100
100554152593223,堤じゅん太事務所 【京都府議会議員】,堤 じゅん太,≤100
