Page ID,Page name,Disclaimer,Amount spent (BRL)
301774903545521,Brasil Paralelo,Brasil Paralelo,15890
286861344662855,Stella Artois,Ambev,11317
113507215403008,Câmara Municipal de São Paulo,Câmara Municipal de São Paulo,7304
451390028206394,Sal de Fruta Eno,These ads ran without a disclaimer,5855
239665829565195,Cidade de São Paulo,Pago por Prefeitura de SP,5823
141627992572943,Budweiser,Ambev,3827
810484929045349,BNDES,BANCO NACIONAL DE DESENVOLVIMENTO ECONÔMICO E SOCIAL,3450
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,3346
425215080864180,Pfizer Brasil,Pfizer,3031
367980806622995,Bruna Furlan Deputada Estadual,Bruna Furlan,1485
159103797542,Greenpeace Brasil,Greenpeace Brasil,1252
128802790469337,Todos Pela Educação,Todos Pela Educação,1232
109354687306376,Instituto Conhecimento Liberta,Instituto Conhecimento Liberta,1042
2109548659331951,Cursinho da Glória,Cursinho da Glória Eireli ME,898
101189854802059,Revista Oeste,Revista Oeste,865
333720355130,Petrobras,Petrobrás,795
1188994537783502,Tribunal Regional Eleitoral de São Paulo,Tribunal Regional Eleitoral de São Paulo,734
496443053731900,Alberto Mourão,Alberto Pereira Mourão,667
520803328039440,Recicla Sampa,Eco Urbis e Loga,656
198849783539777,Buscofem,Buscofem,618
109770755848061,Suzano,Suzano SA,606
239977579362882,Blue3,Blue3 Investimentos,598
121116005943892,Saúde Não Se Pesa,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA,500
367468876929300,Instituto Avon,AVON COSMETICOS LTDA,500
106091268052699,Prefeitura de Diadema,Prefeitura de Diadema,500
273642106068512,Paulo Alexandre Barbosa,Paulo Alexandre Pereira Barbosa,451
2016641191899819,Bruno Ganem - Indaiatuba,Bruno Ganem,426
1767220630177139,Animal Equality Brasil,Animal Equality Brasil,417
1578235319127195,Seiko Brasil,ORIENT RELOGIOS DA AMAZONIA LTDA,354
105806795144292,EducaMídia 60+,EducaMídia 60+ com créditos para anúncios do Facebook,313
288660317927031,Prefeitura Municipal de Araçatuba,PREFEITURA MUNICIPAL DE ARAÇATUBA,302
386441248111951,Prefeitura de Sertãozinho/SP,Prefeitura Municipal de Sertãozinho,258
142073912632259,Carlos Giannazi,Deputado Carlos Giannazi,253
275967186375809,xpnc.live,XPNC,251
269271589804918,Programa Cidades Sustentáveis,Helena Sordili,248
226570957899817,Cidades do Brasil TV,Fabio Paixaq Suleiman,233
485434228470137,Tenente Coimbra,Deputado Estadual Tenente Coimbra,230
104738421003389,InvestNews BR,Easynvest,221
107254866027973,Bruno Ganem,Bruno Ganem,214
187970114581051,Anistia Internacional Brasil,Anistia Internacional Brasil,208
103356970098314,Geleia Protetor,Vlademir Galdino,200
172444996112900,Fundo Brasil,Fundo Brasil,198
170166996524709,Orlando Morando,Orlando Morando Junior,191
103049939296677,Paulo Santiago,Approved Empreendimentos Digitais,190
2323904661180742,All Out Brasil,All Out,186
378584562192977,Filippi,José de Filippi Junior,183
108953490968588,Gustavo Rodrigenes,Gustavo Henrique Rodrigenes Ferreira,176
669979576373645,Delegado Eduardo Boigues,Delegado Eduardo Boigues,173
172154116311925,Sindserv Santos,Sindserv Santos - Sindicato dos Servidores Públicos Municipais de Santos,170
7970426802,WWF-Brasil,WWF-Brasil,160
330379553673497,Oxfam Brasil,Oxfam Brasil,156
355881814480574,Juninho BOI,Fabiano Junior Leite de Souza,154
224777780881144,Visão Mundial,Visão Mundial,152
1678605519056745,Rodrigo Goulart,Rodrigo Goulart,148
197698930267127,Alana,Instituto Alana,146
1376772065890813,Prefeitura de Jacareí,PREFEITURA DE JACAREÍ,137
254473081640100,Henrique Garzon,Carlos Henrique Silvestre Garzon,132
287800898238421,Audrey Kleys,Audrey Kleys,129
197587446941661,Valor Econômico,Editora Globo,126
151756254136,Enel Brasil,Enel Brasil,121
391175961040598,ADE SAMPA,ADE SAMPA,121
287241588030040,Cidade de Presidente Prudente,Prefeitura Municipal de Presidente Prudente,115
340426112827193,Vereador Thiaguinho Silva,Thiago da Silva Santos,113
232853163438316,Prefeitura de Garça,Prefeitura Municipal de Garça,111
228301373863551,Agência Pública,Agência Pública,110
158779925464,Época NEGÓCIOS,Editora Globo,110
130558143745099,Alex Manente,Alex Manente,109
157964194719,Enel Clientes Brasil,Enel Brasil,104
255804437808407,Vale,Gustavo Ferreira,101
170238043113891,Professor Rômulo Passos,Romulo Silva Passos,≤100
193640871262,CLAUDIA Online,Kauira Grillo,≤100
69488070826,Fundação Abrinq,Fundação Abrinq,≤100
483630874998954,Mauro Mendes,Mauro Mendes Ferreira,≤100
108147365877214,Canal Futura,Fundação Roberto Marinho,≤100
101230328792183,Portal Concursos & OAB,PORTAL CURSOS PREPARATORIOS E OAB LTDA,≤100
241839765912021,Estratégia Concursos,ESTRATÉGIA CONCURSOS SA,≤100
169743843175117,Bruno Ganem SP,Bruno Ganem,≤100
115811301935382,Analice Fernandes,Analice Fernandes,≤100
113165042099382,Brasil 61,Brasil 61,≤100
436336693077946,Caio Cunha,Caio Cunha,≤100
1660998400857540,Pedro Roberto,Pedro Roberto,≤100
251235795032635,Itamar Borges,Itamar Borges,≤100
258088921369,TOTVS,TOTVS,≤100
104298494763365,Renata Bravo,Renata Costa Bravo Oliveira,≤100
110225312350543,Nova Escola,Associação Nova Escola,≤100
1263053750454913,Prefeitura de Caçapava,MUNICÍPIO DE CAÇAPAVA,≤100
233383983778750,Edicarlos Vieira,Edicarlos Vieira,≤100
121016455967353,Transparência Eleitoral Brasil,TRANSPARENCIA ELEITORAL BRASIL,≤100
699334503504978,Instituto Desiderata,INS DESIDERATA,≤100
1700227383437806,OC Advogados,Oliveira e Carneiro Sociedade de Advogados,≤100
106308415121143,Politique - Detalhamento de Votos,PRATIC SERVIÇOS EM TECNOLOGIA DA INFORMAÇÃO LTDA,≤100
248844375207062,Jorge Wilson Xerife do Consumidor,Jorge Wilson - Xerife do Consumidor,≤100
115558703488480,IDP Online,Instituto Brasiliense de Direito Publico,≤100
101004083330217,Miguel Haddad,Miguel Haddad,≤100
131497886977001,Associação Paulista de Medicina,Associação Paulista de Medicina,≤100
213048568820524,Vereador Paulo Frange,Rodrigo Carvalho,≤100
194395877379866,Saulo Souza,Saulo de Oliveira Souza,≤100
105872454852148,Vereador Oséias,Oseias Domingos Jorge,≤100
1073772202658318,Janaína Lima,Janaina Carla De Lima Pascalichio,≤100
106499751297086,Professor Thiago Alexandre,Thiago Alexandre Da Silva,≤100
100270759072188,Gil Arantes,Gilberto Macedo Gil Arantes,≤100
104267705031711,Fernando Conrado - Corações e Almas,Fernando Conrado,≤100
559708174096188,Almir Cicote,Almir Cicote,≤100
254019718291156,Ildo Gusmão,Ildo Gusmão,≤100
305405126987059,Thomaz Henrique,Thomaz Henrique Barbosa Da Silva,≤100
971716929540046,Rubinho Nunes,Rubens Alberto Gatti Nunes,≤100
219281048248677,Barros Munhoz,ROGÉRIO TEIXEIRA,≤100
683768251727190,Helinho Zanatta,Helio Donizete Zanatta,≤100
235310816484046,Prefeitura de Araras,Prefeitura de Araras,≤100
467586640104971,Rogerio Castilho,Rogerio Castilho,≤100
821703454511378,Dra. Sandra Tadeu,Sandra Regina Carbone Tadeu Mudalen,≤100
461969670542154,Juninho Gaspar,Luis Fernando Benedini Gaspar Junior,≤100
