Page ID,Page name,Disclaimer,Amount spent (IDR)
103845739156538,G24 Golkar Kaltara,Yayasan Golkar Institut SPKP,84969
23383061178,Prabowo Subianto,indonesia Adil makmur,72021
104940148858518,Bersama Mbak Puan,Bersama Puan,32998
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,19397
105818752347206,Teman Airlangga Hartarto,Aditia Ramdani,10891
68793499001,UNICEF,UNICEF with Facebook Ad Credits,6607
102712985995817,Sobat Airlangga Hartarto,Aditia Ramdani,5760
102122622640795,Catatan Menko Airlangga,Yayasan Golkar Institut,3861
110090765246136,Yanti Airlangga,Yayasan Golkar Institute SPKP,3020
101428652793656,Readktif,Aditia Ramdani,2609
106883058905796,Tanda Seru,Aditia Ramdani,2297
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,2267
104622532469179,Populis,Aditia Ramdani,2164
100493776029547,SiCaleg - Aplikasi Pemilihan Legislatif,SiCaleg,1888
678421075696415,Giring Ganesha,Partai Solidaritas Indonesia,1249
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,1195
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,819
173776079818775,Saiful Mujani,Saidiman,748
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,711
107965558190911,Bansos by DTKS,Mirza Eko Purwanto,665
342449962923657,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,660
102959828790709,XSMB-Trụ Sở Chính,These ads ran without a disclaimer,650
101203454841155,Kota Kite,Prayogo,632
111874238435241,Yayasan Bangun Kecerdasan Bangsa,Yayasan Bangun Kecerdasan Bangsa,628
102060486500863,The Jakarta Post,PT. Bina Media Tenggara,627
110952238516382,Kiki Daliyo,Juniar Dwi Harianto,580
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,542
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,509
102273039070802,Info Terkini,Muhammad Miftakhunnaim,444
225952730433,RepublikaOnline,These ads ran without a disclaimer,444
104830667806476,Melihat Indonesia,Melihat Indonesia,426
102420936064150,Menangin.id,Dwi Wantoro,382
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,369
104830667806476,Melihat Indonesia,Ganjar Nusantara Indonesia,319
100248349384577,Jateng Dukung Ganjar,Ganjar Nusantara Indonesia,300
197545083607941,Harian Kompas,Harian Kompas,278
108156498584853,Tetap Puan,Marabunta Family Cyber,175
100398849135155,Sandiku Sayang,Iwan Hardiansyah,170
101403669397488,Nikmatul Sugiyarto,Juniar Dwi Harianto,157
110368964786452,Kemajuan Bersama,Muhammad Miftakhunnaim,120
101076948451651,Masa Depan Kita,Muhammad Miftakhunnaim,119
102497641558430,Indonesia Tolak HOAX,Muhammad Miftakhunnaim,119
110952238516382,Kiki Daliyo,Dwi Wantoro,113
103866218070109,Bung Idris,Muhammad Idris Siregar,≤100
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,≤100
110100218339060,Wahai Ibu Pertiwi,Muhammad Miftakhunnaim,≤100
101403669397488,Nikmatul Sugiyarto,Ganjar Nusantara Indonesia,≤100
100738338510838,Bangkitlah Indonesia,Iwan Hardiansyah,≤100
100359258525418,Pemulihan Lebih Baik,Muhammad Miftakhunnaim,≤100
108571334357297,Melangkah Lebih Baik,Muhammad Miftakhunnaim,≤100
104427162506872,Fakta Anies,Fakta Anies,≤100
100569658898988,FORTUNE Indonesia,These ads ran without a disclaimer,≤100
101101492306034,Mega News,Siti Sarah Iskandar,≤100
100739975934515,Kemajuan Tanah Air,Muhammad Miftakhunnaim,≤100
110750361762052,Pikiran Rakyat,Desta Darmawansyah,≤100
108695584343029,Baik Untuk Kita,Muhammad Miftakhunnaim,≤100
104843487722931,Portal Islam id,Portal Islam ID,≤100
109635261356229,"Bornok Simanjuntak, SH, MH",Bornok Simanjuntak,≤100
103581752405141,Sobar Harahap,Juniar Dwi Harianto,≤100
104780860985148,AJF ABADI JAYA Furniture,These ads ran without a disclaimer,≤100
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100
